	auctionStimValue	auctionCondition	chosenAuctionAmount	subcode
786	0.5	stop	156.0	sub-75
787	2.0	go	147.0	sub-75
788	1.0	go	204.0	sub-75
789	0.5	go	54.0	sub-75
790	1.0	stop	78.0	sub-75
791	1.0	go	132.0	sub-75
792	2.0	go	0.0	sub-75
793	1.0	stop	34.0	sub-75
794	1.0	go	162.0	sub-75
795	1.0	go	162.0	sub-75
716	0.5	go	0.0	sub-74
717	0.5	go	234.0	sub-74
718	0.5	stop	102.0	sub-74
719	1.0	stop	102.0	sub-74
720	1.0	stop	132.0	sub-74
721	0.5	stop	216.0	sub-74
722	2.0	go	270.0	sub-74
723	0.5	go	216.0	sub-74
724	4.0	go	195.0	sub-74
725	2.0	go	117.0	sub-74
726	2.0	go	102.0	sub-74
727	4.0	stop	132.0	sub-74
728	0.5	stop	220.0	sub-74
729	2.0	stop	196.0	sub-74
730	1.0	stop	102.0	sub-74
731	0.5	go	98.0	sub-74
732	2.0	stop	162.0	sub-74
733	1.0	go	147.0	sub-74
734	1.0	go	156.0	sub-74
735	4.0	go	136.0	sub-74
736	2.0	stop	102.0	sub-74
737	4.0	stop	49.0	sub-74
738	2.0	go	44.0	sub-74
739	4.0	stop	324.0	sub-74
740	1.0	stop	132.0	sub-74
741	4.0	go	49.0	sub-74
742	1.0	go	216.0	sub-74
743	2.0	go	132.0	sub-74
744	1.0	stop	162.0	sub-74
745	4.0	go	220.0	sub-74
746	0.5	go	132.0	sub-74
747	0.5	stop	196.0	sub-74
748	0.5	go	88.0	sub-74
749	2.0	go	195.0	sub-74
750	2.0	stop	162.0	sub-74
751	1.0	go	98.0	sub-74
752	0.5	go	98.0	sub-74
753	4.0	stop	216.0	sub-74
754	2.0	go	98.0	sub-74
755	0.5	go	68.0	sub-74
756	0.5	stop	220.0	sub-74
757	2.0	go	196.0	sub-74
758	2.0	go	162.0	sub-74
759	4.0	stop	68.0	sub-74
760	4.0	go	54.0	sub-74
761	1.0	stop	39.0	sub-74
762	2.0	stop	78.0	sub-74
763	1.0	go	156.0	sub-74
764	0.5	go	68.0	sub-74
765	1.0	stop	196.0	sub-74
766	1.0	go	204.0	sub-74
767	2.0	stop	117.0	sub-74
768	0.5	stop	270.0	sub-74
769	4.0	go	245.0	sub-74
770	2.0	stop	102.0	sub-74
771	1.0	go	162.0	sub-74
772	1.0	stop	195.0	sub-74
773	1.0	stop	98.0	sub-74
774	0.5	stop	195.0	sub-74
775	4.0	stop	147.0	sub-74
776	0.5	stop	245.0	sub-74
777	4.0	stop	220.0	sub-74
778	4.0	go	78.0	sub-74
779	1.0	stop	108.0	sub-74
780	4.0	stop	234.0	sub-74
781	2.0	stop	132.0	sub-74
782	0.5	stop	117.0	sub-74
783	0.5	go	156.0	sub-74
784	2.0	go	136.0	sub-74
785	4.0	stop	204.0	sub-74
786	1.0	go	88.0	sub-74
787	4.0	go	132.0	sub-74
788	4.0	go	54.0	sub-74
789	2.0	stop	264.0	sub-74
790	4.0	stop	117.0	sub-74
791	4.0	go	68.0	sub-74
792	0.5	stop	136.0	sub-74
793	1.0	go	176.0	sub-74
794	2.0	stop	196.0	sub-74
795	1.0	go	102.0	sub-74
716	1.0	go	98.0	sub-015
717	2.0	go	204.0	sub-015
718	4.0	go	245.0	sub-015
719	2.0	stop	156.0	sub-015
720	0.5	go	204.0	sub-015
721	4.0	go	264.0	sub-015
722	1.0	stop	270.0	sub-015
723	2.0	stop	294.0	sub-015
724	4.0	go	68.0	sub-015
725	0.5	go	136.0	sub-015
726	1.0	go	170.0	sub-015
727	2.0	go	204.0	sub-015
728	0.5	stop	108.0	sub-015
729	1.0	stop	234.0	sub-015
730	2.0	go	196.0	sub-015
731	4.0	stop	196.0	sub-015
732	1.0	go	220.0	sub-015
733	4.0	go	270.0	sub-015
734	4.0	stop	49.0	sub-015
735	2.0	go	195.0	sub-015
736	2.0	stop	234.0	sub-015
737	2.0	stop	294.0	sub-015
738	1.0	stop	136.0	sub-015
739	4.0	go	245.0	sub-015
740	0.5	stop	88.0	sub-015
741	0.5	go	44.0	sub-015
742	4.0	stop	44.0	sub-015
743	2.0	stop	108.0	sub-015
744	0.5	stop	156.0	sub-015
745	2.0	stop	68.0	sub-015
746	0.5	go	245.0	sub-015
