	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
267	200.0	s	-200.0																	2.0	0.0	2.0	0.0	10.0	2.0	42.0	2.0																													s	1.0	0.40062212944	None	0.0	4.0	squaremagenta.gif	stop																								3.88	0.514436006546	0.0008759498596189999	0.40062212944	1.0	s	1023.17162991																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
268	200.0	w	200.0																	2.0	0.0	2.0	0.0	10.0	3.0	43.0	0.0																													w	1.0	0.367525815964	None	0.0	1.0	crossblue.gif	go																								0.87	0.5140361785890001	0.000892162322998	0.367525815964	1.0	w	1026.17499399																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
269	200.0	s	-200.0																	2.0	0.0	2.0	0.0	11.0	0.0	44.0	2.0																													s	1.0	0.350610017776	None	0.0	4.0	lineorange.gif	go																								4.16	0.514420032501	0.0008759498596189999	0.350610017776	1.0	s	1029.17835593																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
270	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	11.0	1.0	45.0	3.0																													a	1.0	0.350917100906	None	0.0	2.0	circlecyan.gif	go																								2.25	0.5141868591309999	0.000881910324097	0.350917100906	1.0	a	1032.18254995																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
271	200.0	s	-200.0																	2.0	0.0	2.0	0.0	11.0	2.0	46.0	2.0																													s	1.0	0.350723981857	None	0.0	4.0	lineorange.gif	go																								3.9	0.513394117355	0.000888109207153	0.350723981857	1.0	s	1035.18506598																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
272	200.0	w	200.0																	2.0	0.0	2.0	0.0	11.0	3.0	47.0	0.0																													w	1.0	0.384145021439	None	0.0	1.0	trianglegreen.gif	stop																								0.95	0.514570951462	0.0009119510650630002	0.384145021439	1.0	w	1038.18856788																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
273	200.0	w	200.0																	2.0	0.0	2.0	0.0	12.0	0.0	48.0	0.0																													w	1.0	0.45100879669200006	None	0.0	4.0	squaremagenta.gif	stop																								4.03	0.514219045639	0.0008718967437739999	0.45100879669200006	1.0	w	1041.19199491																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
274	200.0	w	200.0																	2.0	0.0	2.0	0.0	12.0	1.0	49.0	0.0																													w	1.0	0.384074926376	None	0.0	0.5	hexagongray.gif	stop																								0.73	0.514491081238	0.0008840560913089999	0.384074926376	1.0	w	1044.19514894																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
275	200.0	w	200.0																	2.0	0.0	2.0	0.0	12.0	2.0	50.0	0.0																													w	1.0	0.3678150177	None	0.0	4.0	lineorange.gif	go																								3.92	0.514280080795	0.001060962677	0.3678150177	1.0	w	1047.19834709																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
276	-200.0	q	200.0																	2.0	0.0	2.0	0.0	12.0	3.0	51.0	1.0																													q	1.0	0.350878000259	None	0.0	2.0	circlecyan.gif	go																								1.89	0.514391899109	0.000898838043213	0.350878000259	1.0	q	1050.20216703																																	2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
