	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	fourthComputedRewardOutput	fourthLearningStimOnset	fourthLearningFixOnset	fourthPresentationRT	fourthPresentationAcc	fourthPresentationResp	fourthEndTrialTimeStamp	fifthComputedRewardOutput	fifthLearningStimOnset	fifthLearningFixOnset	fifthPresentationRT	fifthPresentationAcc	fifthPresentationResp	fifthEndTrialTimeStamp	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 159
638				m	0.0	200.0																											5.0	0.0	5.0	0.0	15.0	1.0	31.0	1.0																																						2773.12765694	stop	diamondgreen.gif	stop	4.0	None	0.0		None	0.0	0.0009319782257080001	0.51481294632	0.86546087265	2776.13059592																																									0.35	0.4																						2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
639				z	0.0	-200.0																											5.0	0.0	5.0	0.0	16.0	0.0	32.0	0.0																																						2776.13111091	stop	trianglemagenta.gif	stop	1.0	z	1.0	0.567895889282	None	0.0	0.000949144363403	0.514789104462	1.06528711319	2779.13396502																																									0.55	0.5																						2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
640				m	0.0	200.0																											5.0	0.0	5.0	0.0	16.0	1.0	33.0	1.0																																						2779.13448	go	hexagoncyan.gif	go	1.0	m	1.0	0.768032073975	None	0.0	0.000902891159058	0.514651060104		2782.13714099																																									-1.0	-1.0																						2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
641				z	0.0	-200.0																											5.0	0.0	5.0	0.0	17.0	0.0	34.0	0.0																																						2782.13760591	go	circleblue.gif	go	0.5	z	1.0	0.500463962555	None	0.0	0.000942945480347	0.515466928482		2785.14051604																																									-1.0	-1.0																						2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
642				z	0.0	-200.0																											5.0	0.0	5.0	0.0	17.0	1.0	35.0	0.0																																						2785.14097095	stop	trianglemagenta.gif	stop	1.0	None	0.0		None	0.0	0.000922203063965	0.515003204346	1.01562404633	2788.143646																																									0.5	0.55																						2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
643				z	0.0	-200.0																											6.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0																																						2872.17560506	go	hexagoncyan.gif	go	1.0	z	1.0	0.38375902175899995	None	0.0	0.000907897949219	0.510905981064		2875.17436886	9.0	81.8681600094																																							-1.0	-1.0																						2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
644				m	0.0	200.0																											6.0	0.0	6.0	0.0	0.0	1.0	1.0	1.0																																						2875.17490888	go	diamondgreen.gif	stop	4.0	m	1.0	0.350677967072	None	0.0	0.0009629726409910001	0.5148661136630001		2878.17744899																																									-1.0	-1.0																						2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
645				z	0.0	-200.0																											6.0	0.0	6.0	0.0	1.0	0.0	2.0	0.0																																						2878.17791891	go	invertedtrianglegray.gif	go	4.0	z	1.0	0.45114207267800005	None	0.0	0.00095009803772	0.515403985977		2881.18126988																																									-1.0	-1.0																						2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
646				z	0.0	-200.0																											6.0	0.0	6.0	0.0	1.0	1.0	3.0	0.0																																						2881.18173289	stop	diamondgreen.gif	stop	4.0	None	0.0		None	0.0	0.000941038131714	0.5149250030520001	1.06538414955	2884.18497801																																									0.55	0.6																						2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
647				z	0.0	-200.0																											6.0	0.0	6.0	0.0	2.0	0.0	4.0	0.0																																						2884.18549085	go	hexagoncyan.gif	go	1.0	z	1.0	0.601700782776	None	0.0	0.000938892364502	0.514330863953		2887.18814588																																									-1.0	-1.0																						2015_Jul_08_1018	59.9261621461	LearningTask	1	72	
