	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
536				m	0.0	200.0																											3.0	0.0	3.0	0.0	0.0	1.0	1.0	1.0																																							2164.54022098	go	circlewhite.gif	stop	2.0	m	1.0	0.751238822937	None	0.0	0.000961065292358	0.51466012001		2167.54275203												-1.0	-1.0																						2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
537				z	0.0	-200.0																											3.0	0.0	3.0	0.0	1.0	0.0	2.0	0.0																																							2167.54322004	go	hexagongreen.gif	go	0.5	z	1.0	0.717475891113	None	0.0	0.000948190689087	0.515519142151		2170.54621792												-1.0	-1.0																						2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
538				z	0.0	-200.0																											3.0	0.0	3.0	0.0	1.0	1.0	3.0	0.0																																							2170.54668808	go	diamondmagenta.gif	go	4.0	z	1.0	0.7178199291230001	None	0.0	0.0009431838989260002	0.5153110027310001		2173.54973388												-1.0	-1.0																						2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
539				m	0.0	200.0																											3.0	0.0	3.0	0.0	2.0	0.0	4.0	1.0																																							2173.55025387	stop	linecyan.gif	stop	0.5	m	1.0	0.668025970459	None	0.0	0.000963926315308	0.5151720047	1.11582708359	2176.55289388												0.6	0.55																						2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
540				m	0.0	200.0																											3.0	0.0	3.0	0.0	2.0	1.0	5.0	1.0																																							2176.55336094	stop	crossblue.gif	stop	4.0	None	0.0		None	0.0	0.00121998786926	0.5151109695430001	1.06592702866	2179.55685806												0.55	0.6																						2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
541				z	0.0	-200.0																											3.0	0.0	3.0	0.0	3.0	0.0	6.0	0.0																																							2179.55732393	go	squaregray.gif	go	1.0	z	1.0	0.7843370437620001	None	0.0	0.0009350776672360002	0.514554977417		2182.55967808												-1.0	-1.0																						2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
542				z	0.0	-200.0																											3.0	0.0	3.0	0.0	3.0	1.0	7.0	0.0																																							2182.56020594	stop	crossblue.gif	stop	4.0	None	0.0		None	0.0	0.000942945480347	0.515022039413	1.16564083099	2185.56301808												0.65	0.7																						2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
543				z	0.0	-200.0																											3.0	0.0	3.0	0.0	4.0	0.0	8.0	0.0																																							2185.5635159000003	stop	triangleorange.gif	stop	1.0	None	0.0		None	0.0	0.000969886779785	0.5150959491730001	1.21573400497	2188.56669807												0.7	0.75																						2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
544				z	0.0	-200.0																											3.0	0.0	3.0	0.0	4.0	1.0	9.0	0.0																																							2188.56716704	stop	triangleorange.gif	stop	1.0	z	1.0	0.884629964828	None	0.0	0.000946044921875	0.5149271488189999	1.26584815979	2191.57030106												0.75	0.7																						2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
545				m	0.0	200.0																											3.0	0.0	3.0	0.0	5.0	0.0	10.0	1.0																																							2191.57076406	stop	circlewhite.gif	stop	2.0	None	0.0		None	0.0	0.000942945480347	0.5146369934080001	1.1154088974	2194.57353497												0.6	0.65																						2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
546				m	0.0	200.0																											3.0	0.0	3.0	0.0	5.0	1.0	11.0	1.0																																							2194.57406092	go	diamondmagenta.gif	go	4.0	m	1.0	0.851042985916	None	0.0	0.000969171524048	0.51477098465		2197.57632494												-1.0	-1.0																						2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
