	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
10	-200.0	a	-200.0				0.0	9.0	9.0	7.0																																														a	1.0	None	0.0		0.5	circlemagenta.gif	go	0.55	0.515165090561	0.0008959770202639998	0.43408203125	1.0	a	161.811182022	0.43408203125																																																															2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
11				m	0.0	200.0										0.0	0.0	0.0	1.0																																																												244.44239306400002	stop	hexagoncyan.gif	stop	4.0	m	1.0	0.517524957657	None	0.0	0.00134587287903	0.510270833969	0.7604508399959999	247.44052600900002																																										2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
12				z	0.0	-200.0										0.0	1.0	1.0	0.0																																																												247.44097995799999	stop	crossgreen.gif	stop	2.0	z	1.0	0.30066704750100004	None	0.0	0.00096607208252	0.515232086182	0.7655100822450001	250.44350791																																										2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
13				z	0.0	-200.0										1.0	0.0	2.0	0.0																																																												250.443871975	go	circlemagenta.gif	go	0.5	z	1.0	0.36737203598000007	None	0.0	0.0010712146759	0.5159242153170001		253.447046041																																										2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
14				m	0.0	200.0										1.0	1.0	3.0	1.0																																																												253.44746089	stop	squarewhite.gif	stop	0.5	m	1.0	0.384267091751	None	0.0	0.0009520053863530001	0.5153110027310001	0.76553606987	256.45012688599996																																										2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
15				m	0.0	200.0										2.0	0.0	4.0	1.0																																																												256.450531006	go	triangleblue.gif	go	1.0	m	1.0	0.450916051865	None	0.0	0.000941038131714	0.515870094299		259.453634024																																										2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
16				m	0.0	200.0										2.0	1.0	5.0	1.0																																																												259.45400905599996	go	triangleblue.gif	go	1.0	m	1.0	0.484216213226	None	0.0	0.0010049343109099999	0.515772819519		262.457082033																																										2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
17				z	0.0	-200.0										3.0	0.0	6.0	0.0																																																												262.457508087	go	circlemagenta.gif	go	0.5	z	1.0	0.333950042725	None	0.0	0.000965118408203	0.515619039536		265.46026206																																										2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
18				z	0.0	-200.0										3.0	1.0	7.0	0.0																																																												265.460633993	go	invertedtriangleyellow.gif	go	2.0	z	1.0	0.334179878235	None	0.0	0.0009469985961910001	0.515815019608		268.46363306																																										2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
19				z	0.0	-200.0										4.0	0.0	8.0	0.0																																																												268.46400594700003	go	triangleblue.gif	go	1.0	z	1.0	0.350381135941	None	0.0	0.000953197479248	0.516135215759		271.467118025																																										2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
