	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	feedbackResp.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
722																																									0.0	0.0	0.0	0.0	6.0	0.0	6.0	0.0																							3320.91650701													3326.93859005																																o	0.9682009220119999	1.9659719467200003	circlegray.gif	[54, 324, 270, 108, 162, 216]	0.5	stop	216.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
723																																									0.0	0.0	0.0	0.0	7.0	0.0	7.0	0.0																							3326.93962502													3332.94508505																																t	0.900959968567	1.90077209473	squareblue.gif	[270, 162, 216, 54, 324, 108]	1.0	stop	162.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
724																																									0.0	0.0	0.0	0.0	8.0	0.0	8.0	0.0																							3332.94611096													3338.95137095																																t	1.9694840908099998	2.97152709961	squareblue.gif	[264, 44, 220, 132, 88, 176]	1.0	stop	44.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
725																																									0.0	0.0	0.0	0.0	9.0	0.0	9.0	0.0																							3338.95249391													3344.9585259																																o	0.901206016541	1.90045499802	diamondyellow.gif	[234, 39, 117, 195, 78, 156]	4.0	stop	156.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
726																																									0.0	0.0	0.0	0.0	10.0	0.0	10.0	0.0																							3344.95980501													3350.96489906																																r	0.917995929718	1.9174759388	diamondyellow.gif	[196, 147, 49, 245, 98, 294]	4.0	stop	196.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
727																																									0.0	0.0	0.0	0.0	11.0	0.0	11.0	0.0																							3350.96594787													3356.97202492																																u	0.501028060913	1.50188088417	circlegray.gif	[204, 102, 34, 170, 136, 68]	0.5	stop	170.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
728																																									0.0	0.0	0.0	0.0	12.0	0.0	12.0	0.0																							3356.97321606													3362.97828984																																r	0.901143074036	1.9013330936400001	linecyan.gif	[117, 156, 195, 78, 234, 39]	1.0	go	117.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
729																																									0.0	0.0	0.0	0.0	13.0	0.0	13.0	0.0																							3362.97941399													3368.98581386																																y	0.7344369888310001	1.71705102921	invertedtrianglewhite.gif	[324, 216, 108, 162, 270, 54]	2.0	go	108.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
730																																									0.0	0.0	0.0	0.0	14.0	0.0	14.0	0.0																							3368.98684001													3375.00912786																																r	1.8184909820599997	2.81754183769	squareblue.gif	[147, 98, 245, 294, 196, 49]	1.0	stop	147.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
731																																									0.0	0.0	0.0	0.0	15.0	0.0	15.0	0.0																							3375.01016188													3381.01581097																																i	1.63567900658	2.63481998444	squareblue.gif	[245, 98, 147, 294, 196, 49]	1.0	stop	196.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
732																																									0.0	0.0	0.0	0.0	16.0	0.0	16.0	0.0																							3381.01698804													3387.02250791																																o	2.55283093452	3.55306982994	hexagonmagenta.gif	[34, 102, 204, 170, 68, 136]	4.0	go	136.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
733																																									0.0	0.0	0.0	0.0	17.0	0.0	17.0	0.0																							3387.02364397													3393.04570293																																y	1.55127000809	2.5464940071099997	crossgreen.gif	[216, 324, 54, 270, 108, 162]	0.5	go	54.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
734																																									0.0	0.0	0.0	0.0	18.0	0.0	18.0	0.0																							3393.04673505													3399.0527699																																o	1.70212006569	2.70283818245	triangleorange.gif	[102, 34, 170, 136, 68, 204]	2.0	stop	204.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
735																																									0.0	0.0	0.0	0.0	19.0	0.0	19.0	0.0																							3399.05383205													3405.05941892																																t	2.25239086151	3.2517869472500003	diamondyellow.gif	[270, 216, 324, 54, 108, 162]	4.0	stop	216.0											2015_Jul_07_0953	60.1413233	LearningTask	1	80	
736																																									1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0																							3411.35115886													3417.35662985																																i	1.43528008461	2.4348158836400002	crossgreen.gif	[68, 34, 136, 102, 204, 170]	0.5	go	204.0	9.0	4.01746511459									2015_Jul_07_0953	60.1413233	LearningTask	1	80	
