	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 145
235	200.0	w	200.0																	2.0	0.0	2.0	0.0	2.0	2.0	10.0	0.0																													w	1.0	None	0.0		1.0	triangleorange.gif	stop								0.384301900864																								1.14	0.51397895813	0.000880002975464	0.384301900864	1.0	w	873.336748123																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
236	200.0	w	200.0																	2.0	0.0	2.0	0.0	2.0	3.0	11.0	0.0																													w	1.0	None	0.0		1.0	triangleorange.gif	stop								0.383915901184																								0.78	0.5146961212160001	0.00113010406494	0.383915901184	1.0	w	876.340199947																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
237	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	3.0	0.0	12.0	3.0																													a	1.0	None	0.0		0.5	squaremagenta.gif	stop								0.43419098854099997																								0.32	0.514378070831	0.00087308883667	0.434190988541	1.0	a	879.3436920639999																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
238	200.0	s	-200.0																	2.0	0.0	2.0	0.0	3.0	1.0	13.0	2.0																													s	1.0	None	0.0		0.5	hexagonwhite.gif	go								0.36723589897200004																								0.6	0.513805866241	0.000931024551392	0.367235898972	1.0	s	882.347140074																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
239	-200.0	a	-200.0																	2.0	0.0	2.0	0.0	3.0	2.0	14.0	3.0																													a	1.0	None	0.0		1.0	triangleorange.gif	stop								0.401098966599																								0.92	0.513675928116	0.0009250640869139999	0.401098966599	1.0	a	885.350497007																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
240	-200.0	q	200.0																	2.0	0.0	2.0	0.0	3.0	3.0	15.0	1.0																													q	1.0	None	0.0		0.5	hexagonwhite.gif	go								0.367879152298																								0.62	0.513822078705	0.0009591579437260001	0.367879152298	1.0	q	888.353699923																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
241	200.0	w	200.0																	2.0	0.0	2.0	0.0	4.0	0.0	16.0	0.0																													w	1.0	None	0.0		0.5	squaremagenta.gif	stop								0.367892980576																								0.62	0.514440059662	0.0008740425109860002	0.367892980576	1.0	w	891.357302904																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
242	200.0	s	-200.0																	2.0	0.0	2.0	0.0	4.0	1.0	17.0	2.0																													s	1.0	None	0.0		4.0	circleblue.gif	go								0.384771108627																								3.86	0.513762950897	0.0009100437164310001	0.384771108627	1.0	s	894.3604791160001																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
243	200.0	s	-200.0																	2.0	0.0	2.0	0.0	4.0	2.0	18.0	2.0																													s	1.0	None	0.0		4.0	lineyellow.gif	stop								0.401237010956																								4.1	0.514267921448	0.0008749961853029999	0.401237010956	1.0	s	897.363734007																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
244	200.0	s	-200.0																	2.0	0.0	2.0	0.0	4.0	3.0	19.0	2.0																													s	1.0	None	0.0		4.0	circleblue.gif	go								0.401210069656																								3.8	0.514137983322	0.000951051712036	0.401210069656	1.0	s	900.36798811																																								2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
