	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	feedbackResp.rt	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
14				z	0.0	-200.0										1.0	1.0	3.0	0.0																																																					176.837549925	stop	invertedtrianglecyan.gif	stop	0.5	None	0.0		None	0.0	0.000951051712036	0.515902042389	0.766493082047	179.840842962																																										2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
15				m	0.0	200.0										2.0	0.0	4.0	1.0																																																					179.84127593	go	diamondgray.gif	go	1.0	m	1.0	0.483989953995	None	0.0	0.0158708095551	0.515463829041		182.844033957																																										2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
16				m	0.0	200.0										2.0	1.0	5.0	1.0																																																					182.844439983	go	diamondgray.gif	go	1.0	m	1.0	0.567565917969	None	0.0	0.0009489059448239998	0.5157020092010001		185.847230911																																										2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
17				z	0.0	-200.0										3.0	0.0	6.0	0.0																																																					185.847645998	stop	invertedtrianglecyan.gif	stop	0.5	None	0.0		None	0.0	0.00101613998413	0.515846967697	0.766044139862	188.850955963																																										2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
18				z	0.0	-200.0										3.0	1.0	7.0	0.0																																																					188.851393938	stop	hexagonwhite.gif	stop	1.0	None	0.0		None	0.0	0.00103402137756	0.515475034714	0.765586137772	191.854232073																																										2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
19				z	0.0	-200.0										4.0	0.0	8.0	0.0																																																					191.854597092	go	diamondgray.gif	go	1.0	z	1.0	0.434135913849	None	0.0	0.0009520053863530001	0.515710115433		194.85736703900002																																										2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
20				m	0.0	200.0										4.0	1.0	9.0	1.0																																																					194.85772800400002	go	triangleyellow.gif	go	4.0	m	1.0	0.534624099731	None	0.0	0.042815923690800006	0.515973091125		197.86097002																																										2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
21																																																																																						9.0	3.0812420845																																								2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
22																																																						9.0	61.0691981316																																																																								2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
23	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0																													a	1.0	0.6015510559080001	None	0.0	4.0	triangleyellow.gif	go																									3.76	0.500571012497	0.0009109973907470001	0.601551055908	1.0	a	265.204319																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
24	200.0	w	200.0																	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0																													w	1.0	0.417226791382	None	0.0	1.0	diamondgray.gif	go																									0.98	0.513768911362	0.0008909702301030001	0.417226791382	1.0	w	268.207688093																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
25	-200.0	q	200.0																	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0																													q	1.0	0.400767087936	None	0.0	0.5	invertedtrianglecyan.gif	stop																									0.39	0.513782024384	0.000994920730591	0.400767087936	1.0	q	271.21064496																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
26	200.0	w	200.0																	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0																													w	1.0	0.501106023788	None	0.0	2.0	squareblue.gif	stop																									1.87	0.514054059982	0.0009529590606689998	0.501106023788	1.0	w	274.213931084																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
27	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	1.0	0.0	4.0	3.0																													a	1.0	0.45069408416699996	None	0.0	2.0	squareblue.gif	stop																									0.0	0.514739990234	0.000904083251953	0.450694084167	1.0	a	277.217442989																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
28	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	1.0	5.0	2.0																													s	1.0	0.518218994141	None	0.0	2.0	linegreen.gif	go																									1.9	0.51429104805	0.0008981227874760001	0.518218994141	1.0	s	280.221069098																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
29	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	2.0	6.0	2.0																													s	1.0	0.384649991989	None	0.0	2.0	linegreen.gif	go																									2.09	0.513341903687	0.00089693069458	0.384649991989	1.0	s	283.224174023																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
30	-200.0	q	200.0																	0.0	0.0	0.0	0.0	1.0	3.0	7.0	1.0																													q	1.0	0.317795991898	None	0.0	4.0	triangleyellow.gif	go																									3.84	0.5143120288849999	0.0008959770202639998	0.317795991898	1.0	q	286.22753405599997																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
31	200.0	s	-200.0																	0.0	0.0	0.0	0.0	2.0	0.0	8.0	2.0																													s	1.0	0.384231090546	None	0.0	4.0	crossmagenta.gif	stop																									0.0	0.514387130737	0.000909090042114	0.384231090546	1.0	s	289.231476068																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
32	200.0	w	200.0																	0.0	0.0	0.0	0.0	2.0	1.0	9.0	0.0																													w	1.0	0.317622900009	None	0.0	0.5	circleorange.gif	go																									0.46	0.513575077057	0.0348799228668	0.317622900009	1.0	w	292.234390974																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
33	200.0	w	200.0																	0.0	0.0	0.0	0.0	2.0	2.0	10.0	0.0																													w	1.0	0.31752109527600003	None	0.0	4.0	crossmagenta.gif	stop																									3.95	0.514243125916	0.0008940696716310001	0.317521095276	1.0	w	295.237618923																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
34	200.0	s	-200.0																	0.0	0.0	0.0	0.0	2.0	3.0	11.0	2.0																													s	1.0	0.350760936737	None	0.0	4.0	triangleyellow.gif	go																									4.03	0.514698982239	0.0009019374847410001	0.350760936737	1.0	s	298.24126005200003																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
35	-200.0	q	200.0																	0.0	0.0	0.0	0.0	3.0	0.0	12.0	1.0																													q	1.0	0.384577989578	None	0.0	4.0	crossmagenta.gif	stop																									4.09	0.514070034027	0.000904083251953	0.384577989578	1.0	q	301.244630098																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
36	-200.0	q	200.0																	0.0	0.0	0.0	0.0	3.0	1.0	13.0	1.0																													q	1.0	0.38414478302	None	0.0	0.5	circleorange.gif	go																									0.33	0.513733148575	0.00117301940918	0.38414478302	1.0	q	304.24772596400004																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
37	-200.0	q	200.0																	0.0	0.0	0.0	0.0	3.0	2.0	14.0	1.0																													q	1.0	0.334496974945	None	0.0	1.0	diamondgray.gif	go																									0.0	0.514246940613	0.00095796585083	0.334496974945	1.0	q	307.251441956																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
38	-200.0	q	200.0																	0.0	0.0	0.0	0.0	3.0	3.0	15.0	1.0																													q	1.0	0.33404898643500003	None	0.0	1.0	hexagonwhite.gif	stop																									0.79	0.513635873795	0.00102186203003	0.334048986435	1.0	q	310.254266024																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
39	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	4.0	0.0	16.0	3.0																													a	1.0	0.40126299858099995	None	0.0	4.0	crossmagenta.gif	stop																									3.97	0.514595985413	0.00115990638733	0.401262998581	1.0	a	313.258039951																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
40	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	4.0	1.0	17.0	3.0																													a	1.0	0.434617996216	None	0.0	4.0	triangleyellow.gif	go																									3.82	0.513948202133	0.00095009803772	0.434617996216	1.0	a	316.261178017																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
41	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	4.0	2.0	18.0	3.0																													a	1.0	0.601622104645	None	0.0	2.0	linegreen.gif	go																									0.0	0.514497041702	0.0008940696716310001	0.601622104645	1.0	a	319.26460289999994																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
42	-200.0	q	200.0																	0.0	0.0	0.0	0.0	4.0	3.0	19.0	1.0																													q	1.0	0.36736321449299997	None	0.0	0.5	invertedtrianglecyan.gif	stop																									0.34	0.514128923416	0.0009551048278810001	0.367363214493	1.0	q	322.26799988700003																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
43	200.0	s	-200.0																	0.0	0.0	0.0	0.0	5.0	0.0	20.0	2.0																													s	1.0	0.417915821075	None	0.0	1.0	hexagonwhite.gif	stop																									1.2	0.514235973358	0.000951051712036	0.417915821075	1.0	s	325.27127194400003																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
44	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	5.0	1.0	21.0	3.0																													a	1.0	0.517456054688	None	0.0	0.5	circleorange.gif	go																									0.44	0.514605998993	0.00090503692627	0.517456054688	1.0	a	328.274849892																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
45	200.0	w	200.0																	0.0	0.0	0.0	0.0	5.0	2.0	22.0	0.0																													w	1.0	0.467216014862	None	0.0	1.0	diamondgray.gif	go																									0.8	0.514256954193	0.0009248256683350001	0.467216014862	1.0	w	331.278300047																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
46	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	5.0	3.0	23.0	3.0																													a	1.0	0.5848519802090001	None	0.0	4.0	crossmagenta.gif	stop																									3.82	0.514093160629	0.0008940696716310001	0.584851980209	1.0	a	334.28143286700004																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
47	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	6.0	0.0	24.0	3.0																													a	1.0	0.801789045334	None	0.0	0.5	invertedtrianglecyan.gif	stop																									0.73	0.514285087585	0.000930070877075	0.801789045334	1.0	a	337.285373926																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
48	200.0	w	200.0																	0.0	0.0	0.0	0.0	6.0	1.0	25.0	0.0																													w	1.0	0.484046936035	None	0.0	2.0	linegreen.gif	go																									1.94	0.5138599872590001	0.0009019374847410001	0.484046936035	1.0	w	340.288227081																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
49	200.0	s	-200.0																	0.0	0.0	0.0	0.0	6.0	2.0	26.0	2.0																													s	1.0	0.384527921677	None	0.0	4.0	triangleyellow.gif	go																									4.11	0.514090061188	0.0008931159973139998	0.384527921677	1.0	s	343.291673899																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
50	200.0	s	-200.0																	0.0	0.0	0.0	0.0	6.0	3.0	27.0	2.0																													s	1.0	0.38412213325499994	None	0.0	1.0	diamondgray.gif	go																									0.79	0.514448881149	0.000978946685791	0.384122133255	1.0	s	346.295475006																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
51	-200.0	q	200.0																	0.0	0.0	0.0	0.0	7.0	0.0	28.0	1.0																													q	1.0	0.801498889923	None	0.0	0.5	invertedtrianglecyan.gif	stop																									0.41	0.513746023178	0.0009198188781739999	0.801498889923	1.0	q	349.298424006																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
52	-200.0	q	200.0																	0.0	0.0	0.0	0.0	7.0	1.0	29.0	1.0																													q	1.0	0.6680531501770001	None	0.0	1.0	hexagonwhite.gif	stop																									0.0	0.5142331123349999	0.00100302696228	0.668053150177	1.0	q	352.30153203																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
53	200.0	w	200.0																	0.0	0.0	0.0	0.0	7.0	2.0	30.0	0.0																													w	1.0	0.41801404953000004	None	0.0	2.0	linegreen.gif	go																									1.83	0.5145192146299999	0.000953197479248	0.41801404953	1.0	w	355.305375099																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
54	200.0	w	200.0																	0.0	0.0	0.0	0.0	7.0	3.0	31.0	0.0																													w	1.0	0.38405013084399997	None	0.0	1.0	diamondgray.gif	go																									1.11	0.514107942581	0.0009031295776369999	0.384050130844	1.0	w	358.308713913																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
55	200.0	w	200.0																	0.0	0.0	0.0	0.0	8.0	0.0	32.0	0.0																													w	1.0	0.300894021988	None	0.0	4.0	triangleyellow.gif	go																									4.21	0.513884067535	0.0010249614715599998	0.300894021988	1.0	w	361.311965942																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
56	200.0	s	-200.0																	0.0	0.0	0.0	0.0	8.0	1.0	33.0	2.0																													s	1.0	0.417224884033	None	0.0	4.0	crossmagenta.gif	stop																									3.93	0.5143229961399999	0.0010998249054	0.417224884033	1.0	s	364.31521105800005																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
57	-200.0	q	200.0																	0.0	0.0	0.0	0.0	8.0	2.0	34.0	1.0																													q	1.0	0.367382049561	None	0.0	2.0	linegreen.gif	go																									0.0	0.514330148697	0.0009012222290039999	0.367382049561	1.0	q	367.31857895900004																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
58	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	8.0	3.0	35.0	3.0																													a	1.0	0.401238918304	None	0.0	0.5	circleorange.gif	go																									0.25	0.514051914215	0.00094199180603	0.401238918304	1.0	a	370.321985006																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
59	-200.0	q	200.0																	0.0	0.0	0.0	0.0	9.0	0.0	36.0	1.0																													q	1.0	0.401043891907	None	0.0	0.5	invertedtrianglecyan.gif	stop																									0.54	0.514236927032	0.00089693069458	0.401043891907	1.0	q	373.325291872																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
60	-200.0	q	200.0																	0.0	0.0	0.0	0.0	9.0	1.0	37.0	1.0																													q	1.0	0.35093903541599997	None	0.0	4.0	triangleyellow.gif	go																									4.13	0.5144460201259999	0.00090503692627	0.350939035416	1.0	q	376.328809023																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
61	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	9.0	2.0	38.0	3.0																													a	1.0	0.400661945343	None	0.0	4.0	triangleyellow.gif	go																									4.02	0.51433300972	0.0009489059448239998	0.400661945343	1.0	a	379.332256079																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
62	200.0	w	200.0																	0.0	0.0	0.0	0.0	9.0	3.0	39.0	0.0																													w	1.0	0.350941181183	None	0.0	4.0	crossmagenta.gif	stop																									3.96	0.514142990112	0.000900983810425	0.350941181183	1.0	w	382.33540892599996																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
63	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	10.0	0.0	40.0	3.0																													a	1.0	0.350728988647	None	0.0	0.5	circleorange.gif	go																									0.53	0.514364004135	0.000923156738281	0.350728988647	1.0	a	385.33923888199996																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
64	200.0	s	-200.0																	0.0	0.0	0.0	0.0	10.0	1.0	41.0	2.0																													s	1.0	0.334271907806	None	0.0	2.0	squareblue.gif	stop																									1.88	0.513788938522	0.0008959770202639998	0.334271907806	1.0	s	388.342451096																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
65	200.0	w	200.0																	0.0	0.0	0.0	0.0	10.0	2.0	42.0	0.0																													w	1.0	0.350535154343	None	0.0	1.0	diamondgray.gif	go																									0.78	0.514167070389	0.0008990764617919999	0.350535154343	1.0	w	391.345546007																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
66	200.0	s	-200.0																	0.0	0.0	0.0	0.0	10.0	3.0	43.0	2.0																													s	1.0	0.368076086044	None	0.0	0.5	invertedtrianglecyan.gif	stop																									0.0	0.514099836349	0.000966787338257	0.368076086044	1.0	s	394.34923887300005																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
67	-200.0	q	200.0																	0.0	0.0	0.0	0.0	11.0	0.0	44.0	1.0																													q	1.0	0.30086803436299997	None	0.0	2.0	linegreen.gif	go																									2.01	0.513834953308	0.000922918319702	0.300868034363	1.0	q	397.35227704																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
68	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	11.0	1.0	45.0	3.0																													a	1.0	0.417541027069	None	0.0	4.0	triangleyellow.gif	go																									3.95	0.514322042465	0.00110006332397	0.417541027069	1.0	a	400.356112957																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
69	-200.0	q	200.0																	0.0	0.0	0.0	0.0	11.0	2.0	46.0	1.0																													q	1.0	0.417676925659	None	0.0	2.0	linegreen.gif	go																									1.83	0.513752937317	0.0009191036224369998	0.417676925659	1.0	q	403.359123945																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
70	200.0	w	200.0																	0.0	0.0	0.0	0.0	11.0	3.0	47.0	0.0																													w	1.0	0.317342042923	None	0.0	4.0	triangleyellow.gif	go																									4.13	0.514307022095	0.000931024551392	0.317342042923	1.0	w	406.362385035																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
71	200.0	w	200.0																	0.0	0.0	0.0	0.0	12.0	0.0	48.0	0.0																													w	1.0	0.316890954971	w	1.0	1.0	diamondgray.gif	go								0.591385126114																	1.18	0.5147621631620001	0.000969171524048	0.316890954971	1.0	w	409.36579489699994																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
72	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	12.0	1.0	49.0	3.0																													a	1.0	0.384443044662	None	0.0	4.0	crossmagenta.gif	stop																									3.9	0.514363050461	0.000896215438843	0.384443044662	1.0	a	412.369126081																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
73	-200.0	q	200.0																	0.0	0.0	0.0	0.0	12.0	2.0	50.0	1.0																													q	1.0	0.384293079376	None	0.0	0.5	circleorange.gif	go																									0.53	0.51428604126	0.0008990764617919999	0.384293079376	1.0	q	415.372713089																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
74	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	12.0	3.0	51.0	3.0																													a	1.0	0.41770100593599996	None	0.0	2.0	linegreen.gif	go																									2.04	0.513653039932	0.0009369850158689999	0.417701005936	1.0	a	418.376224041																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
75	200.0	s	-200.0																	0.0	0.0	0.0	0.0	13.0	0.0	52.0	2.0																													s	1.0	0.417928934097	None	0.0	4.0	crossmagenta.gif	stop																									4.14	0.513576030731	0.00109314918518	0.417928934097	1.0	s	421.379287004																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
76	-200.0	q	200.0																	0.0	0.0	0.0	0.0	13.0	1.0	53.0	1.0																													q	1.0	0.366955041885	None	0.0	1.0	hexagonwhite.gif	stop																									1.06	0.5143940448759999	0.0009031295776369999	0.366955041885	1.0	q	424.383146048																																	2015_Jul_06_1123	59.7196767341	LearningTask	1	77	
