	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	feedbackResp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
137	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	3.0	1.0	13.0	3.0																													a	1.0	0.384626150131	None	0.0	0.5	hexagonblue.gif	stop																																0.42	0.5139698982240001	0.000981092453003	0.384626150131	1.0	a	647.92373991																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
138	200.0	s	-200.0																	1.0	0.0	1.0	0.0	3.0	2.0	14.0	2.0																													s	1.0	0.434669017792	None	0.0	4.0	lineyellow.gif	go																																3.97	0.514364957809	0.0009059906005860001	0.434669017792	1.0	s	650.927333117																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
139	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	3.0	3.0	15.0	3.0																													a	1.0	0.43401002883900003	None	0.0	0.5	hexagonblue.gif	stop																																0.66	0.514345884323	0.0008959770202639998	0.434010028839	1.0	a	653.93055892																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
140	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	4.0	0.0	16.0	3.0																													a	1.0	0.450634002686	None	0.0	1.0	diamondgreen.gif	go																																0.76	0.514199018478	0.000969886779785	0.450634002686	1.0	a	656.9339129919999																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
141	200.0	s	-200.0																	1.0	0.0	1.0	0.0	4.0	1.0	17.0	2.0																													s	1.0	0.484225034714	None	0.0	0.5	squaregray.gif	go																																0.68	0.5143561363220001	0.0008740425109860002	0.484225034714	1.0	s	659.9372880459999																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
142	-200.0	q	200.0																	1.0	0.0	1.0	0.0	4.0	2.0	18.0	1.0																													q	1.0	0.45092010498	None	0.0	0.5	squaregray.gif	go																																0.47	0.514297962189	0.0011179447174100002	0.45092010498	1.0	q	662.941133976																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
143	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	4.0	3.0	19.0	3.0																													a	1.0	0.450773954391	None	0.0	0.5	squaregray.gif	go																																0.7	0.513743877411	0.000938892364502	0.450773954391	1.0	a	665.943871021																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
144	-200.0	q	200.0																	1.0	0.0	1.0	0.0	5.0	0.0	20.0	1.0																													q	1.0	0.501067876816	None	0.0	1.0	diamondgreen.gif	go																																0.84	0.514191865921	0.0008788108825680001	0.501067876816	1.0	q	668.947365046																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
145	200.0	w	200.0																	1.0	0.0	1.0	0.0	5.0	1.0	21.0	0.0																													w	1.0	0.7181711196899999	None	0.0	0.5	hexagonblue.gif	stop																																0.32	0.514466047287	0.0008840560913089999	0.71817111969	1.0	w	671.951282024																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
146	200.0	s	-200.0																	1.0	0.0	1.0	0.0	5.0	2.0	22.0	2.0																													s	1.0	0.384128093719	None	0.0	2.0	trianglemagenta.gif	go																																1.98	0.513605117798	0.000928163528442	0.384128093719	1.0	s	674.954076052																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
147	200.0	w	200.0																	1.0	0.0	1.0	0.0	5.0	3.0	23.0	0.0																													w	1.0	0.6511769294740001	None	0.0	1.0	diamondgreen.gif	go																																0.84	0.514245033264	0.0009150505065920001	0.651176929474	1.0	w	677.957257986																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
148	-200.0	q	200.0																	1.0	0.0	1.0	0.0	6.0	0.0	24.0	1.0																													q	1.0	0.583924055099	None	0.0	2.0	circlecyan.gif	stop																																1.75	0.514768123627	0.0008780956268310002	0.583924055099	1.0	q	680.9606440069999																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
149	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	6.0	1.0	25.0	3.0																													a	1.0	0.734797954559	None	0.0	4.0	lineyellow.gif	go																																3.79	0.5142121315	0.000927209854126	0.734797954559	1.0	a	683.964134932																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
150	200.0	w	200.0																	1.0	0.0	1.0	0.0	6.0	2.0	26.0	0.0																													w	1.0	0.651386976242	None	0.0	4.0	lineyellow.gif	go																																3.97	0.514055013657	0.00118398666382	0.651386976242	1.0	w	686.967536926																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
151	200.0	s	-200.0																	1.0	0.0	1.0	0.0	6.0	3.0	27.0	2.0																													s	1.0	0.41743206977799996	None	0.0	2.0	trianglemagenta.gif	go																																1.81	0.514299154282	0.000881195068359	0.417432069778	1.0	s	689.970817089																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
152	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	7.0	0.0	28.0	3.0																													a	1.0	0.466995000839	None	0.0	4.0	crosswhite.gif	stop																																4.03	0.51405787468	0.0008709430694580001	0.466995000839	1.0	a	692.974005938																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
153	200.0	s	-200.0																	1.0	0.0	1.0	0.0	7.0	1.0	29.0	2.0																													s	1.0	0.400907039642	None	0.0	1.0	invertedtriangleorange.gif	stop																																0.76	0.514219999313	0.000949859619141	0.400907039642	1.0	s	695.97735405																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
154	200.0	w	200.0																	1.0	0.0	1.0	0.0	7.0	2.0	30.0	0.0																													w	1.0	0.551223993301	None	0.0	1.0	diamondgreen.gif	go																																1.12	0.514381885529	0.000913858413696	0.551223993301	1.0	w	698.9807879919999																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
155	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	7.0	3.0	31.0	3.0																													a	1.0	0.6675660610199999	None	0.0	2.0	circlecyan.gif	stop																																1.94	0.514509916306	0.0008749961853029999	0.66756606102	1.0	a	701.9839959139999																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
156	200.0	w	200.0																	1.0	0.0	1.0	0.0	8.0	0.0	32.0	0.0																													w	1.0	0.36799287795999996	None	0.0	4.0	lineyellow.gif	go																																0.0	0.5141119956970001	0.000909805297852	[]	0.0	None	704.987474918			4.1	0.515315055847	0.00094199180603	0.36799287795999996	1.0	w	707.9911129469999																								2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
157	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	8.0	1.0	33.0	3.0																													a	1.0	0.551167011261	None	0.0	2.0	trianglemagenta.gif	go																																2.08	0.513784170151	0.0009291172027589999	0.551167011261	1.0	a	710.994579077																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
158	200.0	w	200.0																	1.0	0.0	1.0	0.0	8.0	2.0	34.0	0.0																													w	1.0	0.45090293884300003	None	0.0	2.0	circlecyan.gif	stop																																2.24	0.513652086258	0.0009541511535639998	0.450902938843	1.0	w	713.997596025																																	2015_Jul_02_1229	59.97895025850001	LearningTask	1	74	
