	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	feedbackResp.rt	fourthComputedRewardOutput	fourthLearningStimOnset	fourthLearningFixOnset	fourthPresentationRT	fourthPresentationAcc	fourthPresentationResp	fourthEndTrialTimeStamp	fifthComputedRewardOutput	fifthLearningStimOnset	fifthLearningFixOnset	fifthPresentationRT	fifthPresentationAcc	fifthPresentationResp	fifthEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 152
26	200.0	w	200.0																	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0																													w	1.0	0.434414148331	None	0.0	2.0	invertedtriangleblue.gif	go																								2.03	0.514372825623	0.0008909702301030001	0.434414148331	1.0	w	261.06302809700003																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
27	200.0	w	200.0																	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0																													w	1.0	0.36740016937299996	None	0.0	2.0	diamondorange.gif	stop																								2.23	0.513997793198	0.00114393234253	0.367400169373	1.0	w	264.066326141																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
28	200.0	w	200.0																	0.0	0.0	0.0	0.0	1.0	1.0	5.0	0.0																													w	1.0	0.400773048401	None	0.0	2.0	invertedtriangleblue.gif	go																								0.0	0.513559103012	0.000994920730591	0.400773048401	1.0	w	267.069477081																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
29	-200.0	q	200.0																	0.0	0.0	0.0	0.0	1.0	2.0	6.0	1.0																													q	1.0	0.350829839706	None	0.0	1.0	squaremagenta.gif	stop																								0.98	0.514315843582	0.0008878707885739998	0.350829839706	1.0	q	270.072782993																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
30	-200.0	q	200.0																	0.0	0.0	0.0	0.0	1.0	3.0	7.0	1.0																													q	1.0	0.317715883255	None	0.0	0.5	circlecyan.gif	go																								0.6	0.5143098831180001	0.000931024551392	0.317715883255	1.0	q	273.07609319700003																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
31	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	2.0	0.0	8.0	3.0																													a	1.0	0.36736607551600003	None	0.0	2.0	invertedtriangleblue.gif	go																								0.0	0.514235973358	0.0009860992431639998	0.350836038589	0.0	q	276.079648018	2.12	0.515414953232	0.0009758472442630001	0.367366075516	1.0	a	279.083342075																																																2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
32	-200.0	q	200.0																	0.0	0.0	0.0	0.0	2.0	1.0	9.0	1.0																													q	1.0	0.350646018982	None	0.0	2.0	diamondorange.gif	stop																								0.0	0.51376914978	0.0009191036224369998	0.350646018982	1.0	q	282.08613205																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
33	-200.0	q	200.0																	0.0	0.0	0.0	0.0	2.0	2.0	10.0	1.0																													q	1.0	0.434625148773	None	0.0	4.0	crosswhite.gif	go																								3.76	0.514250040054	0.0009560585021970001	0.434625148773	1.0	q	285.089370012																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
34	200.0	w	200.0																	0.0	0.0	0.0	0.0	2.0	3.0	11.0	0.0																													w	1.0	0.467680931091	None	0.0	2.0	invertedtriangleblue.gif	go																								0.0	0.51430606842	0.00111603736877	0.467680931091	1.0	w	288.093191147																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
35	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	3.0	0.0	12.0	3.0																													a	1.0	0.451112031937	None	0.0	4.0	linegreen.gif	stop																								3.77	0.513796806335	0.0009210109710689999	0.451112031937	1.0	a	291.09636902799997																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
36	200.0	s	-200.0																	0.0	0.0	0.0	0.0	3.0	1.0	13.0	2.0																													s	1.0	0.450726032257	None	0.0	1.0	squaremagenta.gif	stop																								1.19	0.5145118236540001	0.0008919239044189998	0.450726032257	1.0	s	294.099431038																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
37	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	3.0	2.0	14.0	3.0																													a	1.0	0.41751694679300005	None	0.0	2.0	diamondorange.gif	stop																								2.18	0.514653921127	0.0009109973907470001	0.417516946793	1.0	a	297.103142977																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
38	-200.0	q	200.0																	0.0	0.0	0.0	0.0	3.0	3.0	15.0	1.0																													q	1.0	0.450832128525	None	0.0	0.5	hexagonyellow.gif	stop																								0.53	0.514095067978	0.0009069442749019998	0.450832128525	1.0	q	300.106383085																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
39	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	4.0	0.0	16.0	3.0																													a	1.0	0.35110020637500006	None	0.0	4.0	crosswhite.gif	go																								3.83	0.514274835587	0.000898838043213	0.351100206375	1.0	a	303.10967111599996																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
40	200.0	s	-200.0																	0.0	0.0	0.0	0.0	4.0	1.0	17.0	2.0																													s	1.0	0.384128093719	None	0.0	2.0	diamondorange.gif	stop																								0.0	0.514380931854	0.000902891159058	0.35079407692	0.0	w	306.1131742	2.09	0.515594959259	0.0009760856628420001	0.384128093719	1.0	s	309.11661815599996																																																2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
41	200.0	w	200.0																	0.0	0.0	0.0	0.0	4.0	2.0	18.0	0.0																													w	1.0	0.433971166611	None	0.0	0.5	circlecyan.gif	go																								0.64	0.5135638713840001	0.000962018966675	0.433971166611	1.0	w	312.11995697																																																							2015_Jun_24_1041	59.7414524923	LearningTask	1	20	
