	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
26	-200.0	q	200.0																	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0																													q	1.0	0.384368896484	None	0.0	0.5	circleyellow.gif	go																								0.0	0.51398897171	0.0008981227874760001	0.384368896484	1.0	q	328.13619208299997																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
27	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	1.0	0.0	4.0	3.0																													a	1.0	0.38409614563	None	0.0	1.0	squaregreen.gif	stop																								0.0	0.514164924622	0.000888824462891	0.38409614563	1.0	a	331.13922405200003																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
28	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	1.0	1.0	5.0	3.0																													a	1.0	0.4344880580899999	None	0.0	1.0	hexagonwhite.gif	go																								0.92	0.514034032822	0.000949144363403	0.43448805809	1.0	a	334.142519951																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
29	-200.0	q	200.0																	0.0	0.0	0.0	0.0	1.0	2.0	6.0	1.0																													q	1.0	0.317317008972	None	0.0	1.0	squaregreen.gif	stop																								0.97	0.514710903168	0.000892877578735	0.317317008972	1.0	q	337.146085978																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
30	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	3.0	7.0	2.0																													s	1.0	0.383959054947	None	0.0	1.0	squaregreen.gif	stop																								1.18	0.514299869537	0.000884771347046	0.383959054947	1.0	s	340.149692059																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
31	200.0	w	200.0																	0.0	0.0	0.0	0.0	2.0	0.0	8.0	0.0																													w	1.0	0.400640964508	None	0.0	0.5	linecyan.gif	stop																								0.3	0.513944149017	0.0009140968322749999	0.400640964508	1.0	w	343.152437925																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
32	-200.0	q	200.0																	0.0	0.0	0.0	0.0	2.0	1.0	9.0	1.0																													q	1.0	0.367387056351	None	0.0	0.5	circleyellow.gif	go																								0.56	0.514761924744	0.000900983810425	0.367387056351	1.0	q	346.156316996																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
33	200.0	w	200.0																	0.0	0.0	0.0	0.0	2.0	2.0	10.0	0.0																													w	1.0	0.384200811386	None	0.0	0.5	circleyellow.gif	go																								0.0	0.5142138004300001	0.000892877578735	0.384200811386	1.0	w	349.15975093800006																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
34	200.0	s	-200.0																	0.0	0.0	0.0	0.0	2.0	3.0	11.0	2.0																													s	1.0	0.367750167847	None	0.0	4.0	trianglemagenta.gif	stop																								4.16	0.513782978058	0.000951051712036	0.367750167847	1.0	s	352.162881136																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
35	200.0	s	-200.0																	0.0	0.0	0.0	0.0	3.0	0.0	12.0	2.0																													s	1.0	0.401001930237	None	0.0	2.0	crossgray.gif	stop																								1.78	0.51412820816	0.0009200572967529999	0.401001930237	1.0	s	355.166350126																																	2015_Jul_07_1259	59.966430383100004	LearningTask	1	11	
