	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
434				z	0.0	-200.0																											0.0	0.0	0.0	0.0	3.0	1.0	7.0	0.0																															1890.03734589	go	crossgreen.gif	go	1.0	z	1.0	0.6675870418550001	None	0.0	0.000999927520752	0.515269041061		1893.04053187																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
435				z	0.0	-200.0																											0.0	0.0	0.0	0.0	4.0	0.0	8.0	0.0																															1893.04098988	go	circleyellow.gif	go	2.0	z	1.0	0.451088905334	None	0.0	0.0009319782257080001	0.5148680210109999		1896.04377484																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
436				z	0.0	-200.0																											0.0	0.0	0.0	0.0	4.0	1.0	9.0	0.0																															1896.04423404	stop	trianglewhite.gif	stop	0.5	None	0.0		None	0.0	0.0009319782257080001	0.515604972839	0.865312814713	1899.04746199																			0.35	0.4																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
437				m	0.0	200.0																											0.0	0.0	0.0	0.0	5.0	0.0	10.0	1.0																															1899.04795885	stop	hexagoncyan.gif	stop	1.0	None	0.0		None	0.0	0.0009608268737789999	0.514941930771	0.7147128582	1902.05084705																			0.2	0.25																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
438				z	0.0	-200.0																											0.0	0.0	0.0	0.0	5.0	1.0	11.0	0.0																															1902.05130291	stop	hexagoncyan.gif	stop	1.0	z	1.0	0.45061302185099994	None	0.0	0.000926971435547	0.515028953552	0.9150121212010001	1905.05390096																			0.4	0.35																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
439				m	0.0	200.0																											0.0	0.0	0.0	0.0	6.0	0.0	12.0	1.0																															1905.05437589	go	crossgreen.gif	go	1.0	m	1.0	0.5175819396970001	None	0.0	0.000946044921875	0.5151109695430001		1908.05760503																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
440				z	0.0	-200.0																											0.0	0.0	0.0	0.0	6.0	1.0	13.0	0.0																															1908.05817604	stop	trianglewhite.gif	stop	0.5	z	1.0	0.484356880188	None	0.0	0.000951051712036	0.514617919922	0.8651430606839999	1911.06091094																			0.35	0.3																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
441				z	0.0	-200.0																											0.0	0.0	0.0	0.0	7.0	0.0	14.0	0.0																															1911.06136799	go	crossgreen.gif	go	1.0	z	1.0	0.5341360569	None	0.0	0.000930070877075	0.51481795311		1914.06399107																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
442				z	0.0	-200.0																											0.0	0.0	0.0	0.0	7.0	1.0	15.0	0.0																															1914.06445003	go	invertedtriangleblue.gif	go	0.5	z	1.0	0.5503771305080001	None	0.0	0.000926971435547	0.515734910965		1917.0675559000001																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
443				m	0.0	200.0																											0.0	0.0	0.0	0.0	8.0	0.0	16.0	1.0																															1917.06806493	go	crossgreen.gif	go	1.0	m	1.0	0.6678981781009999	None	0.0	0.000938892364502	0.5152058601380001		1920.07085085																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
444				m	0.0	200.0																											0.0	0.0	0.0	0.0	8.0	1.0	17.0	1.0																															1920.0713079	go	circleyellow.gif	go	2.0	m	1.0	0.467344999313	None	0.0	0.000922918319702	0.5152211189270001		1923.07385802																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
445				m	0.0	200.0																											0.0	0.0	0.0	0.0	9.0	0.0	18.0	1.0																															1923.0743289000002	go	circleyellow.gif	go	2.0	m	1.0	0.384102106094	None	0.0	0.000953912734985	0.515348911285		1926.07782698																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
446				z	0.0	-200.0																											0.0	0.0	0.0	0.0	9.0	1.0	19.0	0.0																															1926.07828307	go	invertedtriangleblue.gif	go	0.5	z	1.0	0.40123295784	None	0.0	0.0009250640869139999	0.514807939529		1929.08093786																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
447				m	0.0	200.0																											0.0	0.0	0.0	0.0	10.0	0.0	20.0	1.0																															1929.08139586	go	diamondgray.gif	stop	4.0	m	1.0	0.517642974854	None	0.0	0.000942945480347	0.5150458812709999		1932.08401203																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
448				m	0.0	200.0																											0.0	0.0	0.0	0.0	10.0	1.0	21.0	1.0																															1932.08448696	go	crossgreen.gif	go	1.0	m	1.0	0.53440117836	None	0.0	0.000995874404907	0.51530790329		1935.08776903																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
449				m	0.0	200.0																											0.0	0.0	0.0	0.0	11.0	0.0	22.0	1.0																															1935.08835387	go	crossgreen.gif	go	1.0	m	1.0	0.384913921356	None	0.0	0.0009250640869139999	0.514602899551		1938.09088707																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
450				m	0.0	200.0																											0.0	0.0	0.0	0.0	11.0	1.0	23.0	1.0																															1938.09135604	stop	diamondgray.gif	stop	4.0	None	0.0		None	0.0	0.000974893569946	0.5149760246280001	0.765319824219	1941.09472394																			0.25	0.3																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
451				m	0.0	200.0																											0.0	0.0	0.0	0.0	12.0	0.0	24.0	1.0																															1941.09520793	go	crossgreen.gif	go	1.0	m	1.0	0.534288167953	None	0.0	0.000942945480347	0.514760971069		1944.09751892																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
452				z	0.0	-200.0																											0.0	0.0	0.0	0.0	12.0	1.0	25.0	0.0																															1944.09806991	go	lineorange.gif	go	4.0	z	1.0	0.51745390892	None	0.0	0.0009350776672360002	0.5154500007630001		1947.10174084																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
453				z	0.0	-200.0																											0.0	0.0	0.0	0.0	13.0	0.0	26.0	0.0																															1947.1022829999997	stop	hexagoncyan.gif	stop	1.0	None	0.0		None	0.0	0.000948190689087	0.514626026154	0.814598083496	1950.10436797																			0.3	0.35																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
454				z	0.0	-200.0																											0.0	0.0	0.0	0.0	13.0	1.0	27.0	0.0																															1950.10482192	go	invertedtriangleblue.gif	go	0.5	z	1.0	0.484216928482	None	0.0	0.0009319782257080001	0.51564002037		1953.10780692																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
455				m	0.0	200.0																											0.0	0.0	0.0	0.0	14.0	0.0	28.0	1.0																															1953.10826206	go	crossgreen.gif	go	1.0	m	1.0	0.38423395156900003	None	0.0	0.000923871994019	0.515178918839		1956.11116886																			-1.0	-1.0																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
456				z	0.0	-200.0																											0.0	0.0	0.0	0.0	14.0	1.0	29.0	0.0																															1956.11171794	stop	diamondgray.gif	stop	4.0	z	1.0	0.451115846634	None	0.0	0.000949859619141	0.5149738788600001	0.865294933319	1959.11497307																			0.35	0.3																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
457				z	0.0	-200.0																											0.0	0.0	0.0	0.0	15.0	0.0	30.0	0.0																															1959.11542606	stop	diamondgray.gif	stop	4.0	None	0.0		None	0.0	0.00092887878418	0.515165805817	0.815585851669	1962.11835384																			0.3	0.35																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
458				z	0.0	-200.0																											0.0	0.0	0.0	0.0	15.0	1.0	31.0	0.0																															1962.11880684	stop	trianglewhite.gif	stop	0.5	z	1.0	0.483738183975	None	0.0	0.000921964645386	0.515203952789	0.8658649921420001	1965.12182403																			0.35	0.3																						2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
