	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	feedbackResp.rt	key_resp_7.keys	key_resp_7.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
24	200.0	w	200.0																	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0																													w	1.0	None	0.0	1.0	crosscyan.gif	stop								0.33318901062																								0.0	0.513584852219	0.000923871994019	0.33318901062	1.0	w	244.415380955																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
25	200.0	w	200.0																	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0																													w	1.0	None	0.0	1.0	crosscyan.gif	stop								0.43459391593900004																								1.16	0.5144591331480001	0.0008859634399410001	0.43459391593900004	1.0	w	247.418694973																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
26	-200.0	q	200.0																	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0																													q	1.0	None	0.0	0.5	linewhite.gif	go								0.36729717254600003																								0.0	0.514546871185	0.0009059906005860001	0.36729717254600003	1.0	q	250.422217131																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
27	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	0.0	4.0	2.0																													s	1.0	None	0.0	1.0	crosscyan.gif	stop								0.367699146271																								1.04	0.514339923859	0.00092601776123	0.367699146271	1.0	s	253.425572157																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
28	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	1.0	5.0	2.0																													s	1.0	None	0.0	0.5	circleorange.gif	stop								0.367729187012																								0.51	0.514253854752	0.0009069442749019998	0.367729187012	1.0	s	256.428850174																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
29	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	2.0	6.0	2.0																													s	1.0	None	0.0	2.0	squaregray.gif	go								0.350707054138																								1.75	0.514589071274	0.000909090042114	0.350707054138	1.0	s	259.432633162																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
30	-200.0	q	200.0																	0.0	0.0	0.0	0.0	1.0	3.0	7.0	1.0																													q	1.0	None	0.0	2.0	squaregray.gif	go								0.400788068771																								2.2	0.513840913773	0.0009140968322749999	0.400788068771	1.0	q	262.435662985																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
31	200.0	s	-200.0																	0.0	0.0	0.0	0.0	2.0	0.0	8.0	2.0																													s	1.0	None	0.0	1.0	crosscyan.gif	stop								0.433730125427																								0.0	0.514662981033	0.000902891159058	0.433730125427	1.0	s	265.439002991																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
32	200.0	w	200.0																	0.0	0.0	0.0	0.0	2.0	1.0	9.0	0.0																													w	1.0	None	0.0	0.5	linewhite.gif	go								0.33452296256999997																								0.69	0.514251947403	0.0008950233459470001	0.33452296256999997	1.0	w	268.442392111																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
33	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	2.0	2.0	10.0	3.0																													a	1.0	None	0.0	4.0	hexagonmagenta.gif	stop								0.383635044098																								0.0	0.514073133469	0.0009329319000239999	0.383635044098	1.0	a	271.446165085																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
34	200.0	w	200.0																	0.0	0.0	0.0	0.0	2.0	3.0	11.0	0.0																													w	1.0	None	0.0	2.0	diamondgreen.gif	stop								0.43447017669699994																								2.09	0.513688802719	0.0009489059448239998	0.43447017669699994	1.0	w	274.449249983																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
35	200.0	s	-200.0																	0.0	0.0	0.0	0.0	3.0	0.0	12.0	2.0																													s	1.0	None	0.0	2.0	diamondgreen.gif	stop								0.351182937622																								2.15	0.5143048763279999	0.000898838043213	0.351182937622	1.0	s	277.452413082																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
36	200.0	s	-200.0																	0.0	0.0	0.0	0.0	3.0	1.0	13.0	2.0																													s	1.0	None	0.0	4.0	triangleblue.gif	go								0.384416818619																								4.0	0.514255046844	0.000951051712036	0.384416818619	1.0	s	280.455674171																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
37	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	3.0	2.0	14.0	3.0																													a	1.0	None	0.0	4.0	triangleblue.gif	go								0.434740066528																								3.75	0.514151096344	0.0009479522705080001	0.434740066528	1.0	a	283.459243059																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
38	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	3.0	3.0	15.0	3.0																													a	1.0	None	0.0	4.0	hexagonmagenta.gif	stop								0.367923974991																								4.2	0.514251947403	0.000898838043213	0.367923974991	1.0	a	286.46252894400004																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
39	200.0	w	200.0																	0.0	0.0	0.0	0.0	4.0	0.0	16.0	0.0																													w	1.0	None	0.0	0.5	linewhite.gif	go								0.433805942535																								0.0	0.514495849609	0.0009169578552250001	0.433805942535	1.0	w	289.465741158																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
40	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	4.0	1.0	17.0	3.0																													a	1.0	None	0.0	0.5	linewhite.gif	go								0.350471973419																								0.75	0.514588117599	0.000921964645386	0.350471973419	1.0	a	292.469099045																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
41	200.0	w	200.0																	0.0	0.0	0.0	0.0	4.0	2.0	18.0	0.0																													w	1.0	None	0.0	2.0	squaregray.gif	go								0.36749100685099995																								2.14	0.5143041610719999	0.00122594833374	0.36749100685099995	1.0	w	295.47240710299997																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
42	200.0	s	-200.0																	0.0	0.0	0.0	0.0	4.0	3.0	19.0	2.0																													s	1.0	None	0.0	1.0	crosscyan.gif	stop								0.317445993423																								0.0	0.51438498497	0.000921964645386	0.317445993423	1.0	s	298.475960016																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
43	-200.0	q	200.0																	0.0	0.0	0.0	0.0	5.0	0.0	20.0	1.0																													q	1.0	None	0.0	0.5	circleorange.gif	stop								0.434586048126																								0.28	0.51396894455	0.00095009803772	0.434586048126	1.0	q	301.479285955																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
44	200.0	w	200.0																	0.0	0.0	0.0	0.0	5.0	1.0	21.0	0.0																													w	1.0	None	0.0	4.0	hexagonmagenta.gif	stop								0.300609827042																								4.16	0.514326095581	0.0008919239044189998	0.300609827042	1.0	w	304.482522964																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
45	200.0	w	200.0																	0.0	0.0	0.0	0.0	5.0	2.0	22.0	0.0																													w	1.0	None	0.0	1.0	invertedtriangleyellow.gif	go								0.334277153015																								1.08	0.514756917953	0.0008950233459470001	0.334277153015	1.0	w	307.486670017																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
46	200.0	s	-200.0																	0.0	0.0	0.0	0.0	5.0	3.0	23.0	2.0																													s	1.0	None	0.0	0.5	circleorange.gif	stop								0.367436885834																								0.67	0.5135409832	0.00094199180603	0.367436885834	1.0	s	310.489542007																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
47	-200.0	q	200.0																	0.0	0.0	0.0	0.0	6.0	0.0	24.0	1.0																													q	1.0	None	0.0	1.0	invertedtriangleyellow.gif	go								0.401304960251																								0.78	0.514018058777	0.000900030136108	0.401304960251	1.0	q	313.492686033																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
48	200.0	w	200.0																	0.0	0.0	0.0	0.0	6.0	1.0	25.0	0.0																													w	1.0	None	0.0	4.0	hexagonmagenta.gif	stop								0.400727987289																								3.88	0.514321088791	0.00104594230652	0.400727987289	1.0	w	316.495895147																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
49	-200.0	q	200.0																	0.0	0.0	0.0	0.0	6.0	2.0	26.0	1.0																													q	1.0	None	0.0	2.0	diamondgreen.gif	stop								0.367984056473																								1.76	0.514385938644	0.00092887878418	0.367984056473	1.0	q	319.499441147																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
50	-200.0	q	200.0																	0.0	0.0	0.0	0.0	6.0	3.0	27.0	1.0																													q	1.0	None	0.0	2.0	squaregray.gif	go								0.36748099327100003																								2.12	0.51443696022	0.000942945480347	0.36748099327100003	1.0	q	322.503137112																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
51	-200.0	q	200.0																	0.0	0.0	0.0	0.0	7.0	0.0	28.0	1.0																													q	1.0	None	0.0	2.0	squaregray.gif	go								0.401039838791																								1.9	0.513988018036	0.000877857208252	0.401039838791	1.0	q	325.50605917																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
52	200.0	w	200.0																	0.0	0.0	0.0	0.0	7.0	1.0	29.0	0.0																													w	1.0	None	0.0	2.0	squaregray.gif	go								0.35056710243199996																								0.0	0.514643907547	0.000890016555786	0.35056710243199996	1.0	w	328.509396076																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
53	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	7.0	2.0	30.0	3.0																													a	1.0	None	0.0	2.0	squaregray.gif	go								0.417413949966																								1.85	0.514061927795	0.00094199180603	0.417413949966	1.0	a	331.512746096																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
54	-200.0	q	200.0																	0.0	0.0	0.0	0.0	7.0	3.0	31.0	1.0																													q	1.0	None	0.0	4.0	hexagonmagenta.gif	stop								0.368088960648																								0.0	0.51412987709	0.0008950233459470001	0.368088960648	1.0	q	334.516241074																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
55	-200.0	q	200.0																	0.0	0.0	0.0	0.0	8.0	0.0	32.0	1.0																													q	1.0	None	0.0	1.0	crosscyan.gif	stop								0.40102314949																								0.85	0.5141248703	0.0008909702301030001	0.40102314949	1.0	q	337.519529104																																		2015_Jul_06_1138	60.0283088672	LearningTask	1	57	
