	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	fourthComputedRewardOutput	fourthLearningStimOnset	fourthLearningFixOnset	fourthPresentationRT	fourthPresentationAcc	fourthPresentationResp	fourthEndTrialTimeStamp	fifthComputedRewardOutput	fifthLearningStimOnset	fifthLearningFixOnset	fifthPresentationRT	fifthPresentationAcc	fifthPresentationResp	fifthEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 159
421	-200.0	q	200.0																	3.0	0.0	3.0	0.0	23.0	3.0	95.0	1.0																													q	1.0	0.43409681320200005	None	0.0		2.0	triangleorange.gif	go																															2.18	0.514172077179	0.0009241104125980002	0.434096813202	1.0	q	1666.68674111																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
422	200.0	w	200.0																	3.0	0.0	3.0	0.0	24.0	0.0	96.0	0.0																													w	1.0	0.468189001083	None	0.0		2.0	crossblue.gif	stop																															1.83	0.514086008072	0.000881195068359	0.468189001083	1.0	w	1669.69045615																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
423	-200.0	q	200.0																	3.0	0.0	3.0	0.0	24.0	1.0	97.0	1.0																													q	1.0	0.40110588073700004	None	0.0		4.0	invertedtriangleyellow.gif	stop																															4.16	0.513605117798	0.000941038131714	0.401105880737	1.0	q	1672.69369006																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
424	200.0	w	200.0																	3.0	0.0	3.0	0.0	24.0	2.0	98.0	0.0																													w	1.0	0.384282827377	None	0.0		0.5	diamondgreen.gif	stop																															0.67	0.513687133789	0.00118899345398	0.384282827377	1.0	w	1675.69705105																																																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
425	200.0	w	200.0																	3.0	0.0	3.0	0.0	24.0	3.0	99.0	0.0																													w	1.0	0.383949041367	None	0.0		0.5	hexagongray.gif	go																															0.0	0.514236927032	0.0008840560913089999	0.433761119843	0.0	s	1678.70033813	0.55	0.515222072601	0.000946044921875	0.383949041367	1.0	w	1681.70365715																																															2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
426																				3.0	0.0	3.0	0.0																																																																																																											9.0	14.0374760628																								2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
427				z	0.0	-200.0																											0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																							1820.61532116	go	circlemagenta.gif	stop	1.0	z	1.0	0.534078121185	None	0.0	0.0009319782257080001	0.509253025055		1823.61311102																																								-1.0	-1.0																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
428				z	0.0	-200.0																											0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0																																							1823.61362004	go	crossblue.gif	stop	2.0	z	1.0	0.951076030731	None	0.0	0.000946044921875	0.514555931091		1826.61604404																																								-1.0	-1.0																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
429				z	0.0	-200.0																											0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0																																							1826.6165030000002	stop	crossblue.gif	stop	2.0	None	0.0		None	0.0	0.000927209854126	0.515085220337	0.7656731605529999	1829.61918497																																								0.25	0.3																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
430				m	0.0	200.0																											0.0	0.0	0.0	0.0	1.0	1.0	3.0	1.0																																							1829.61964202	stop	invertedtriangleyellow.gif	stop	4.0	m	1.0	0.434682846069	None	0.0	0.00100994110107	0.515249013901	0.765453100204	1832.62260914																																								0.25	0.2																						2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
