	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
0																																																	[]	[]	[]	[]	[]	9.0	74.46285510060001																																																																								2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
1	200.0	w	200.0				0.0	0.0	0.0	0.0																																														w	1.0	0.767940044403	None	0.0	1.0	circlecyan.gif	go	0.0	0.512317895889	0.03733086586	0.767940044403	1.0	w	133.881783009																																																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
2	200.0	w	200.0				0.0	1.0	1.0	4.0																																														w	1.0	0.600857019424	None	0.0	4.0	invertedtrianglegreen.gif	stop	4.06	0.514694929123	0.0121779441833	0.600857019424	1.0	w	136.884718895																																																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
3	200.0	s	-200.0				0.0	2.0	2.0	2.0																																														s	1.0	0.46718502044699994	None	0.0	2.0	squareblue.gif	go	1.79	0.5150589942930001	0.0144040584564	0.46718502044699994	1.0	s	139.8880229																																																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
4	-200.0	a	-200.0				0.0	3.0	3.0	7.0																																														a	1.0	0.5845072269439999	None	0.0	4.0	invertedtrianglegreen.gif	stop	0.0	0.5152189731600001	0.0008931159973139998	0.5845072269439999	1.0	a	142.891196966																																																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
5	-200.0	q	200.0				0.0	4.0	4.0	9.0																																														q	1.0	0.43394184112499995	None	0.0	4.0	invertedtrianglegreen.gif	stop	3.99	0.51547908783	0.000892877578735	0.43394184112499995	1.0	q	145.895097971																																																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
6	-200.0	a	-200.0				0.0	5.0	5.0	3.0																																														a	1.0	0.5176331996920001	None	0.0	0.5	diamondgray.gif	stop	0.3	0.515085935593	0.0094039440155	0.5176331996920001	1.0	a	148.898142815																																																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
7	200.0	s	-200.0				0.0	6.0	6.0	6.0																																														s	1.0	0.48457407951399994	None	0.0	2.0	squareblue.gif	go	1.99	0.515305995941	0.0010199546814	0.48457407951399994	1.0	s	151.901718855																																																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
8	200.0	w	200.0				0.0	7.0	7.0	8.0																																														w	1.0	0.401578187943	None	0.0	1.0	hexagonwhite.gif	stop	0.0	0.514941930771	0.043042898178099996	0.401578187943	1.0	w	154.904816866																																																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
9	-200.0	q	200.0				0.0	8.0	8.0	5.0																																														q	1.0	0.38429689407300005	None	0.0	2.0	triangleyellow.gif	stop	2.2	0.515187978745	0.00949001312256	0.38429689407300005	1.0	q	157.90807294799998																																																									2015_Jul_08_1003	59.9063905516	LearningTask	1	83	
