	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	goResp.rt	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
695				m	0.0	200.0																											7.0	0.0	7.0	0.0	8.0	0.0	16.0	1.0																															3267.86785889	stop	circleblue.gif	stop	2.0	z	0.0	None	0.0	0.0009489059448239998	0.514715909958	1.16531300545	3270.8707459	0.25077009201																			0.65	0.6																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
696				m	0.0	200.0																											7.0	0.0	7.0	0.0	8.0	1.0	17.0	1.0																															3270.87119794	go	invertedtriangleyellow.gif	go	0.5	m	1.0	None	0.0	0.00092887878418	0.5151188373569999		3273.87421083	0.283977985382																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
697				z	0.0	-200.0																											7.0	0.0	7.0	0.0	9.0	0.0	18.0	0.0																															3273.87471986	go	trianglewhite.gif	go	1.0	z	1.0	None	0.0	0.00104808807373	0.5148530006409999		3276.87723494	0.267385005951																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
698				m	0.0	200.0																											7.0	0.0	7.0	0.0	9.0	1.0	19.0	1.0																															3276.87774587	go	invertedtriangleyellow.gif	go	0.5	m	1.0	None	0.0	0.0009248256683350001	0.515535831451		3279.88081002	0.233858108521																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
699				z	0.0	-200.0																											7.0	0.0	7.0	0.0	10.0	0.0	20.0	0.0																															3279.88126302	go	hexagongreen.gif	stop	1.0	z	1.0	None	0.0	0.0009329319000239999	0.515365123749		3282.8839798	0.300897121429																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
700				z	0.0	-200.0																											7.0	0.0	7.0	0.0	10.0	1.0	21.0	0.0																															3282.88447499	stop	circleblue.gif	stop	2.0	z	1.0	None	0.0	0.000926971435547	0.515514850616	1.11609792709	3285.8879118	0.334295988083																			0.6	0.55																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
701				m	0.0	200.0																											7.0	0.0	7.0	0.0	11.0	0.0	22.0	1.0																															3285.88836479	go	squarecyan.gif	stop	4.0	m	1.0	None	0.0	0.000983953475952	0.515189886093		3288.89072585	0.233553886414																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
702				m	0.0	200.0																											7.0	0.0	7.0	0.0	11.0	1.0	23.0	1.0																															3288.89118099	go	trianglewhite.gif	go	1.0	z	0.0	None	0.0	0.0009291172027589999	0.515480041504		3291.89471197	0.28378200531																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
703				z	0.0	-200.0																											7.0	0.0	7.0	0.0	12.0	0.0	24.0	0.0																															3291.89516187	go	trianglewhite.gif	go	1.0	z	1.0	None	0.0	0.0009319782257080001	0.514971017838		3294.8979888	0.333895921707																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
704				m	0.0	200.0																											7.0	0.0	7.0	0.0	12.0	1.0	25.0	1.0																															3294.89846087	go	invertedtriangleyellow.gif	go	0.5	m	1.0	None	0.0	0.0009329319000239999	0.51481795311		3297.90113401	0.267474889755																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
705				z	0.0	-200.0																											7.0	0.0	7.0	0.0	13.0	0.0	26.0	0.0																															3297.90158892	go	trianglewhite.gif	go	1.0	z	1.0	None	0.0	0.0009820461273189998	0.515050888062		3300.90430689	0.31761002540600003																			-1.0	-1.0																						2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
