	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
199	-200.0	a	-200.0																	1.0	0.0	1.0	0.0	18.0	3.0	75.0	3.0																													a	1.0	0.400981903076	None	0.0	0.5	hexagonyellow.gif	stop																								0.0	0.514194965363	0.0008790493011469999	0.400981903076	1.0	a	769.0965890880001																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
200	-200.0	q	200.0																	1.0	0.0	1.0	0.0	19.0	0.0	76.0	1.0																													q	1.0	0.38430094718900004	None	0.0	0.5	hexagonyellow.gif	stop																								0.0	0.513648033142	0.0008959770202639998	0.38430094718900004	1.0	q	772.099437952																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
201	200.0	s	-200.0																	1.0	0.0	1.0	0.0	19.0	1.0	77.0	2.0																													s	1.0	0.35106992721600006	None	0.0	2.0	triangleblue.gif	go																								1.89	0.514263868332	0.0008840560913089999	0.35106992721600006	1.0	s	775.1026360989999																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
202	200.0	w	200.0																	1.0	0.0	1.0	0.0	19.0	2.0	78.0	0.0																													w	1.0	0.467470169067	None	0.0	2.0	triangleblue.gif	go																								2.05	0.514714002609	0.0008790493011469999	0.467470169067	1.0	w	778.106405973																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
203	200.0	s	-200.0																	1.0	0.0	1.0	0.0	19.0	3.0	79.0	2.0																													s	1.0	0.43440508842500003	None	0.0	1.0	circlegray.gif	go																								1.13	0.514075040817	0.00088095664978	0.43440508842500003	1.0	s	781.109277964																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
204	200.0	w	200.0																	1.0	0.0	1.0	0.0	20.0	0.0	80.0	0.0																													w	1.0	0.351026058197	None	0.0	1.0	circlegray.gif	go																								0.83	0.514387130737	0.000923156738281	0.351026058197	1.0	w	784.11285305																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
205	200.0	s	-200.0																	1.0	0.0	1.0	0.0	20.0	1.0	81.0	2.0																													s	1.0	0.41753482818599996	None	0.0	0.5	linewhite.gif	go																								0.74	0.514496803284	0.0008728504180910001	0.41753482818599996	1.0	s	787.116494894																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
206	-200.0	q	200.0																	1.0	0.0	1.0	0.0	20.0	2.0	82.0	1.0																													q	1.0	0.53440117836	None	0.0	0.5	hexagonyellow.gif	stop																								0.32	0.514050006866	0.0008790493011469999	0.53440117836	1.0	q	790.1199400419999																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
207	200.0	w	200.0																	1.0	0.0	1.0	0.0	20.0	3.0	83.0	0.0																													w	1.0	0.501578092575	None	0.0	2.0	diamondmagenta.gif	stop																								0.0	0.513586044312	0.0009181499481200001	0.501578092575	1.0	w	793.12319994																																		2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
208	200.0	w	200.0																	1.0	0.0	1.0	0.0	21.0	0.0	84.0	0.0																													w	1.0	0.434720039368	None	0.0	4.0	invertedtrianglegreen.gif	stop																								0.0	0.514303922653	0.00140404701233	0.650949001312	0.0	s	796.1264569760001	4.17	0.515281915665	0.000949859619141	0.434720039368	1.0	w	799.1301829810001																											2015_Jul_02_1405	59.8236798453	LearningTask	1	76	
