	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	goResp.rt	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
24	-200.0	q	200.0																	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0																													q	1.0	None	0.0		2.0	linemagenta.gif	go								0.417612075806																								1.97	0.513611078262	0.00095796585083	0.417612075806	1.0	q	278.192281008																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
25	200.0	w	200.0																	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0																													w	1.0	None	0.0		1.0	squarewhite.gif	stop								0.317570209503																								0.96	0.514490127563	0.0009431838989260002	0.317570209503	1.0	w	281.195915937																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
26	-200.0	q	200.0																	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0																													q	1.0	None	0.0		1.0	trianglegreen.gif	go								0.367620944977																								0.75	0.514184951782	0.0985310077667	0.367620944977	1.0	q	284.19907188400003																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
27	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	0.0	4.0	2.0																													s	1.0	None	0.0		1.0	squarewhite.gif	stop								0.301008939743																								1.01	0.5144300460819999	0.0009379386901860002	0.301008939743	1.0	s	287.202351809																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
28	200.0	w	200.0																	0.0	0.0	0.0	0.0	1.0	1.0	5.0	0.0																													w	1.0	None	0.0		0.5	crossblue.gif	stop								0.384666919708																								0.0	0.5142841339109999	0.00105214118958	0.384666919708	1.0	w	290.205937862																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
29	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	1.0	2.0	6.0	3.0																													a	1.0	None	0.0		1.0	squarewhite.gif	stop								0.367170095444																								0.99	0.514193058014	0.0008940696716310001	0.367170095444	1.0	a	293.20901083900003																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
30	200.0	s	-200.0																	0.0	0.0	0.0	0.0	1.0	3.0	7.0	2.0																													s	1.0	None	0.0		2.0	linemagenta.gif	go								0.401039123535																								0.0	0.51438498497	0.0011079311370799998	0.401039123535	1.0	s	296.212320805																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
31	200.0	s	-200.0																	0.0	0.0	0.0	0.0	2.0	0.0	8.0	2.0																													s	1.0	None	0.0		1.0	trianglegreen.gif	go								0.401077032089																								1.08	0.514034986496	0.000946044921875	0.401077032089	1.0	s	299.215811014																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
32	200.0	w	200.0																	0.0	0.0	0.0	0.0	2.0	1.0	9.0	0.0																													w	1.0	None	0.0		2.0	circlecyan.gif	stop								0.36761093139600004																								2.11	0.5142557621	0.000923871994019	0.36761093139600004	1.0	w	302.21941185																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
33	200.0	w	200.0																	0.0	0.0	0.0	0.0	2.0	2.0	10.0	0.0																													w	1.0	None	0.0		1.0	squarewhite.gif	stop								0.367130041122																								1.23	0.514089107513	0.0009391307830810002	0.367130041122	1.0	w	305.222625017																																	2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
