	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	feedbackResp.rt	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
522				z	0.0	-200.0																											2.0	0.0	2.0	0.0	11.0	1.0	23.0	0.0																															2001.06925821	go	crossorange.gif	stop	2.0	z	1.0	0.584242105484	None	0.0	0.00122094154358	0.514725923538		2004.0717721																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
523				z	0.0	-200.0																											2.0	0.0	2.0	0.0	12.0	0.0	24.0	0.0																															2004.0722269999999	go	circleyellow.gif	go	2.0	z	1.0	0.450745820999	None	0.0	0.0009257793426510001	0.515383958817		2007.07493305																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
524				z	0.0	-200.0																											2.0	0.0	2.0	0.0	12.0	1.0	25.0	0.0																															2007.07538605	go	trianglegray.gif	go	0.5	z	1.0	0.501229047775	None	0.0	0.000962018966675	0.5153951644899999		2010.07858419																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
525				m	0.0	200.0																											2.0	0.0	2.0	0.0	13.0	0.0	26.0	1.0																															2010.0790422000002	go	invertedtrianglemagenta.gif	go	4.0	m	1.0	0.38353896141099997	None	0.0	0.00109696388245	0.514856100082		2013.08177018																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
526				z	0.0	-200.0																											2.0	0.0	2.0	0.0	13.0	1.0	27.0	0.0																															2013.08222818	go	invertedtrianglemagenta.gif	go	4.0	z	1.0	0.434006929398	None	0.0	0.0009291172027589999	0.5153181552889999		2016.08549809																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
527				m	0.0	200.0																											2.0	0.0	2.0	0.0	14.0	0.0	28.0	1.0																															2016.08600712	stop	lineblue.gif	stop	0.5	m	1.0	0.467936992645	None	0.0	0.0009200572967529999	0.51478099823	1.01537203789	2019.08868623																				0.5	0.45																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
528				z	0.0	-200.0																											2.0	0.0	2.0	0.0	14.0	1.0	29.0	0.0																															2019.08913517	go	circleyellow.gif	go	2.0	z	1.0	0.684710979462	None	0.0	0.00094199180603	0.515100955963		2022.09154916																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
529				z	0.0	-200.0																											2.0	0.0	2.0	0.0	15.0	0.0	30.0	0.0																															2022.09200215	go	hexagonwhite.gif	go	1.0	z	1.0	0.717841863632	None	0.0	0.00109815597534	0.515433073044		2025.095366																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
530				m	0.0	200.0																											2.0	0.0	2.0	0.0	15.0	1.0	31.0	1.0																															2025.09594703	go	diamondgreen.gif	stop	4.0	m	1.0	0.667947053909	None	0.0	0.0009450912475589999	0.515132188797		2028.09874105																				-1.0	-1.0																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
531				m	0.0	200.0																											2.0	0.0	2.0	0.0	16.0	0.0	32.0	1.0																															2028.0991981	stop	squarecyan.gif	stop	1.0	None	0.0		None	0.0	0.000926971435547	0.515124082565	0.96528506279	2031.10176921																				0.45	0.5																						2015_Jul_07_1048	59.9269327321	LearningTask	1	81	
