	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	key_resp_9.rt	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
33	200.0	w	200.0																	0.0	0.0	0.0	0.0	2.0	2.0	10.0	0.0																													w	1.0	0.451610088348	None	0.0	0.5	crossyellow.gif	go																								0.46	0.5141999721530001	0.0011808872222899998	0.451610088348	1.0	w	376.30631303800004																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
34	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	2.0	3.0	11.0	3.0																													a	1.0	0.417335987091	None	0.0	1.0	diamondgray.gif	go																								1.11	0.513895988464	0.0013480186462400002	0.417335987091	1.0	a	379.30959606199997																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
35	200.0	s	-200.0																	0.0	0.0	0.0	0.0	3.0	0.0	12.0	2.0																													s	1.0	0.38437795639	None	0.0	0.5	crossyellow.gif	go																								0.52	0.514147996902	0.00103497505188	0.38437795639	1.0	s	382.31267809900004																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
36	200.0	w	200.0																	0.0	0.0	0.0	0.0	3.0	1.0	13.0	0.0																													w	1.0	0.35084319114699997	None	0.0	1.0	diamondgray.gif	go																								0.0	0.5145628452300001	0.000917911529541	0.35084319114699997	1.0	w	385.316393137																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
37	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	3.0	2.0	14.0	3.0																													a	1.0	0.467368125916	None	0.0	0.5	crossyellow.gif	go																								0.26	0.514102935791	0.0009489059448239998	0.467368125916	1.0	a	388.31978917099997																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
38	200.0	s	-200.0																	0.0	0.0	0.0	0.0	3.0	3.0	15.0	2.0																													s	1.0	0.401300191879	None	0.0	2.0	invertedtrianglecyan.gif	stop																								1.93	0.514272928238	0.0009129047393799999	0.401300191879	1.0	s	391.323107004																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
39	200.0	w	200.0																	0.0	0.0	0.0	0.0	4.0	0.0	16.0	0.0																													w	1.0	0.517803907394	None	0.0	4.0	hexagonmagenta.gif	go																								3.9	0.5143251419070001	0.000909090042114	0.517803907394	1.0	w	394.326658964																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
40	-200.0	q	200.0																	0.0	0.0	0.0	0.0	4.0	1.0	17.0	1.0																													q	1.0	0.401404857635	None	0.0	1.0	diamondgray.gif	go																								0.92	0.51390504837	0.0009441375732419999	0.401404857635	1.0	q	397.32980012900003																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
41	200.0	w	200.0																	0.0	0.0	0.0	0.0	4.0	2.0	18.0	0.0																													w	1.0	0.417621135712	None	0.0	2.0	circlegreen.gif	go																								0.0	0.514297962189	0.0009601116180419999	0.417621135712	1.0	w	400.333041191																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
42	-200.0	q	200.0																	0.0	0.0	0.0	0.0	4.0	3.0	19.0	1.0																													q	1.0	0.434454917908	None	0.0	1.0	diamondgray.gif	go																								0.97	0.51455616951	0.0009720325469970001	0.434454917908	1.0	q	403.33669900900003																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
43	200.0	w	200.0																	0.0	0.0	0.0	0.0	5.0	0.0	20.0	0.0																													w	1.0	0.367560863495	None	0.0	4.0	hexagonmagenta.gif	go																								4.14	0.5142378807069999	0.000913858413696	0.367560863495	1.0	w	406.339846134																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
44	200.0	w	200.0																	0.0	0.0	0.0	0.0	5.0	1.0	21.0	0.0																													w	1.0	0.38425612449600005	None	0.0	2.0	invertedtrianglecyan.gif	stop																								0.0	0.514492034912	0.00118017196655	0.38425612449600005	1.0	w	409.34347200400003																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
45	200.0	w	200.0																	0.0	0.0	0.0	0.0	5.0	2.0	22.0	0.0																													w	1.0	0.36767387390100004	None	0.0	4.0	lineorange.gif	stop																								3.87	0.513899087906	0.0009360313415529999	0.36767387390100004	1.0	w	412.34708905199994																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
46	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	5.0	3.0	23.0	3.0																													a	1.0	0.41752886772200004	None	0.0	0.5	triangleblue.gif	stop																								0.29	0.513849020004	0.00129294395447	0.41752886772200004	1.0	a	415.35006809199996																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
47	-200.0	a	-200.0																	0.0	0.0	0.0	0.0	6.0	0.0	24.0	3.0																													a	1.0	0.501085996628	None	0.0	4.0	hexagonmagenta.gif	go																								4.2	0.514017820358	0.0009448528289790001	0.501085996628	1.0	a	418.35326099400004																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
48	200.0	s	-200.0																	0.0	0.0	0.0	0.0	6.0	1.0	25.0	2.0																													s	1.0	0.434153079987	None	0.0	1.0	diamondgray.gif	go																								1.01	0.514750003815	0.0009200572967529999	0.434153079987	1.0	s	421.357347012																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
49	200.0	s	-200.0																	0.0	0.0	0.0	0.0	6.0	2.0	26.0	2.0																													s	1.0	0.401154994965	None	0.0	0.5	crossyellow.gif	go																								0.42	0.513450860977	0.000945806503296	0.401154994965	1.0	s	424.36019706699994																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
50	200.0	w	200.0																	0.0	0.0	0.0	0.0	6.0	3.0	27.0	0.0																													w	1.0	0.317729949951	None	0.0	2.0	circlegreen.gif	go																								2.18	0.514097929001	0.0009329319000239999	0.317729949951	1.0	w	427.363765001																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
51	200.0	s	-200.0																	0.0	0.0	0.0	0.0	7.0	0.0	28.0	2.0																													s	1.0	0.40084505081200006	None	0.0	1.0	diamondgray.gif	go																								1.02	0.51410984993	0.00120401382446	0.40084505081200006	1.0	s	430.366870165																																		2015_Jun_24_1402	59.94123498	LearningTask	1	65	
