	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	resp.rt	thirdPracComputedRewardOutput	thirdPracLearningStimOnset	thirdPracLearningFixOnset	thirdPracPresentationRT	thirdPracPresentationAcc	thirdPracPresentationResp	thirdPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 145
356	-200.0	q	200.0																	3.0	0.0	3.0	0.0	7.0	2.0	30.0	1.0																													q	1.0	None	0.0		1.0	trianglegreen.gif	stop															0.7010581493379999																								0.81	0.5144748687740001	0.00094199180603	0.7010581493379999	1.0	q	1303.14442706																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
357	200.0	s	-200.0																	3.0	0.0	3.0	0.0	7.0	3.0	31.0	2.0																													s	1.0	None	0.0		1.0	trianglegreen.gif	stop															0.53447508812																								1.05	0.513940095901	0.0008840560913089999	0.53447508812	1.0	s	1306.14751506																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
358	-200.0	q	200.0																	3.0	0.0	3.0	0.0	8.0	0.0	32.0	1.0																													q	1.0	None	0.0		0.5	circlegray.gif	go															0.401155948639																								0.43	0.51442694664	0.0008840560913089999	0.401155948639	1.0	q	1309.15106797																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
359	-200.0	a	-200.0																	3.0	0.0	3.0	0.0	8.0	1.0	33.0	3.0																													a	1.0	None	0.0		1.0	trianglegreen.gif	stop															0.401374101639																								1.02	0.513670921326	0.0008931159973139998	0.401374101639	1.0	a	1312.15454006																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
360	200.0	s	-200.0																	3.0	0.0	3.0	0.0	8.0	2.0	34.0	2.0																													s	1.0	None	0.0		1.0	trianglegreen.gif	stop															0.417617082596																								1.18	0.513933181763	0.000909090042114	0.417617082596	1.0	s	1315.15800905																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
361	200.0	s	-200.0																	3.0	0.0	3.0	0.0	8.0	3.0	35.0	2.0																													s	1.0	None	0.0		1.0	hexagonmagenta.gif	go															0.400570869446																								0.79	0.514305114746	0.0009241104125980002	0.400570869446	1.0	s	1318.16157317																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
362	-200.0	a	-200.0																	3.0	0.0	3.0	0.0	9.0	0.0	36.0	3.0																													a	1.0	None	0.0		0.5	lineyellow.gif	stop															0.43445110321																								0.67	0.5135200023650001	0.0008780956268310002	0.43445110321	1.0	a	1321.16444612																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
363	-200.0	a	-200.0																	3.0	0.0	3.0	0.0	9.0	1.0	37.0	3.0																													a	1.0	None	0.0		2.0	squareblue.gif	go															0.36784100532499997																								1.86	0.5141041278840001	0.0008790493011469999	0.36784100532499997	1.0	a	1324.16753912																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
364	-200.0	a	-200.0																	3.0	0.0	3.0	0.0	9.0	2.0	38.0	3.0																													a	1.0	None	0.0		4.0	invertedtriangleorange.gif	go															0.417702913284																								0.0	0.514307975769	0.000930070877075	0.417702913284	1.0	a	1327.17127609																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
365	200.0	s	-200.0																	3.0	0.0	3.0	0.0	9.0	3.0	39.0	2.0																													s	1.0	None	0.0		0.5	lineyellow.gif	stop															0.45122599601700003																								0.0	0.5141270160679999	0.000881910324097	0.45122599601700003	1.0	s	1330.17444611																																	2015_Jun_24_1444	59.9035671031	LearningTask	1	39	
