xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,10,3,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.367803812027,None,0,1.0,circlegray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.51407289505,0.000937938690186,0.367803812027,1,q,363.907074928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,11,0,44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.317501068115,None,0,1.0,circlegray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.514308929443,0.000909090042114,0.317501068115,1,s,366.910267115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,11,1,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.300701141357,None,0,4.0,squareorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514401912689,0.000900030136108,0.300701141357,1,s,369.914160967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,11,2,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.350594997406,None,0,1.0,circlegray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514028787613,0.000898838043213,0.350594997406,1,s,372.917277098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,11,3,47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.384135007858,None,0,1.0,crosscyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.21,0.514045000076,0.00090503692627,0.384135007858,1,s,375.920424938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,12,0,48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.350811958313,None,0,0.5,linewhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.514509916306,0.000967025756836,0.350811958313,1,a,378.923868895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,12,1,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.318114042282,None,0,1.0,crosscyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514415025711,0.000900983810425,0.317656993866,0,s,381.92794013,0.93,0.514822006226,0.000985860824585,0.318114042282,1,w,384.930701017,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,12,2,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.350867986679,None,0,2.0,diamondmagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,2.08,0.514302968979,0.000926971435547,0.350867986679,1,a,387.934099913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,12,3,51,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.333603143692,None,0,2.0,triangleblue.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.514241933823,0.000951051712036,0.333603143692,1,a,390.937422037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,13,0,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.384693861008,None,0,0.5,hexagonyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.514034032822,0.00124311447144,0.384693861008,1,q,393.940726042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1405,59.8236798453,LearningTask,1,76,
