xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,m,0,200,,,,,,,,,,4,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.417365074,stop,linecyan.gif,stop,2.0,None,0,,None,0,0.000972986221313,0.515914916992,0.765810012817,203.420198202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,53.3223440647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5.70631599426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.417716026306,None,0,4.0,squareyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.89,0.508680820465,0.00104403495789,0.417716026306,1,a,265.591025114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.267637968063,None,0,0.5,diamondgray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.513515949249,0.000910997390747,0.267637968063,1,q,268.593353033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.283578157425,None,0,0.5,diamondgray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.514519929886,0.000913858413696,0.283578157425,1,q,271.597014189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.367164134979,None,0,4.0,crossblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,3.95,0.514420986176,0.000945806503296,0.367164134979,1,a,274.60040617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.417587041855,None,0,2.0,hexagonorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514136075974,0.000910997390747,0.250607967377,0,q,277.603551149,1.92,0.515562057495,0.000978946685791,0.417587041855,1,s,280.607326984,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.417504072189,None,0,0.5,diamondgray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.513812065125,0.000978946685791,0.417504072189,1,s,283.61038518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.351315021515,None,0,4.0,crossblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,4.21,0.514238834381,0.000934839248657,0.351315021515,1,s,286.613718033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.333918094635,None,0,2.0,linecyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,2.06,0.514365911484,0.000946044921875,0.333918094635,1,a,289.617087126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.333847999573,None,0,0.5,trianglemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.514375209808,0.000946044921875,0.333847999573,1,s,292.620448112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,2,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.33385515213,None,0,0.5,diamondgray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.514319896698,0.000913858413696,0.33385515213,1,w,295.623764038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,2,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.284050941467,None,0,0.5,trianglemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.514081001282,0.000946998596191,0.284050941467,1,s,298.627019167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,2,3,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.334029912949,None,0,4.0,squareyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,4.06,0.514290094376,0.000901937484741,0.334029912949,1,s,301.630417109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,3,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.400490999222,None,0,2.0,linecyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.85,0.514564990997,0.000922203063965,0.400490999222,1,q,304.633979082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1324,59.9645442796,LearningTask,1,64,
