xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
200,s,-200,,,,,,,,,,,,,,,,,2,0,2,0,17,2,70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.60093998909,None,0,2.0,squaremagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.514508008957,0.000877857208252,0.60093998909,1,s,1264.16689491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
-200,a,-200,,,,,,,,,,,,,,,,,2,0,2,0,17,3,71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.434235095978,None,0,2.0,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.83,0.514101982117,0.000910043716431,0.434235095978,1,a,1267.17024803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
200,s,-200,,,,,,,,,,,,,,,,,2,0,2,0,18,0,72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.53505897522,None,0,2.0,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.51406288147,0.00128602981567,0.53505897522,1,s,1270.17384601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,18,1,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.467502117157,None,0,4.0,lineorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.81,0.514252901077,0.000869035720825,0.467502117157,1,w,1273.17705393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,18,2,74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.400398015976,None,0,4.0,lineorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.87,0.514449119568,0.000869989395142,0.400398015976,1,q,1276.18044591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
200,s,-200,,,,,,,,,,,,,,,,,2,0,2,0,18,3,75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.568103075027,None,0,4.0,lineorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.78,0.513671875,0.00295901298523,0.568103075027,1,s,1279.1837399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,19,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.417798995972,None,0,1.0,crossgreen.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514127969742,0.000861167907715,0.417798995972,1,w,1282.18736291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,19,1,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.367281198502,None,0,2.0,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0,0.514208078384,0.00087308883667,0.367281198502,1,w,1285.19071293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,19,2,78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.417526006699,None,0,4.0,lineorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.9,0.513592004776,0.000961780548096,0.417526006699,1,q,1288.193887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
-200,a,-200,,,,,,,,,,,,,,,,,2,0,2,0,19,3,79,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.417207956314,None,0,2.0,squaremagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.89,0.514909029007,0.000859022140503,0.417207956314,1,a,1291.19734097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1410,59.8777406285,LearningTask,1,82,
