xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.81374692917,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.518416881561,None,0,1.0,hexagonwhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.509757995605,0.000902891159058,0.518416881561,1,a,626.755506992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.367390871048,None,0,4.0,trianglemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,3.88,0.513549089432,0.000891923904419,0.367390871048,1,s,629.758090973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.467391014099,None,0,1.0,squaregreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.81,0.514429092407,0.000903129577637,0.467391014099,1,a,632.761302948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.367799043655,None,0,0.5,linecyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.513700008392,0.000936985015869,0.367799043655,1,s,635.765017986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.350545167923,None,0,1.0,squaregreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.514346837997,0.000944852828979,0.350545167923,1,s,638.768253088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.400933980942,None,0,2.0,crossgray.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,2.02,0.514239788055,0.000954866409302,0.400933980942,1,q,641.771633148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,1,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.367753982544,None,0,4.0,trianglemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,4.16,0.513787031174,0.000900030136108,0.367753982544,1,s,644.774956942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,1,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.350995063782,None,0,1.0,hexagonwhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.514452934265,0.000916957855225,0.350995063782,1,w,647.778255939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,2,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.41766500473,None,0,2.0,invertedtriangleblue.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.13,0.514223098755,0.00094199180603,0.41766500473,1,q,650.781841993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,2,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.28412604332,None,0,0.5,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.514095067978,0.000901937484741,0.28412604332,1,w,653.785162926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,2,2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.350548028946,None,0,2.0,invertedtriangleblue.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.13,0.514454126358,0.000921964645386,0.350548028946,1,w,656.788471937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,2,3,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.351335048676,None,0,0.5,linecyan.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514450073242,0.000895977020264,0.351335048676,1,s,659.791978121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,3,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.334280014038,None,0,2.0,invertedtriangleblue.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.12,0.513999938965,0.00115609169006,0.334280014038,1,w,662.795150995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,3,1,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.367737054825,None,0,4.0,trianglemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514456987381,0.00105595588684,0.367737054825,1,s,665.798975945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,3,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.350508928299,None,0,1.0,hexagonwhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,1.16,0.514186859131,0.000900983810425,0.350508928299,1,w,668.802641153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,3,3,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.66828417778,None,0,4.0,diamondorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.76,0.513767957687,0.000956058502197,0.66828417778,1,q,671.805364132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,4,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.367453098297,None,0,0.5,circleyellow.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.514033079147,0.000955104827881,0.367453098297,1,w,674.808730125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1259,59.9664303831,LearningTask,1,11,
