xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,goResp.rt,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,20,2,82,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.517528057098,None,0,1.0,diamondgray.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.514307975769,0.000880002975464,0.517528057098,1,a,791.561291933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,20,3,83,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.367390155792,None,0,0.5,hexagonorange.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.514548063278,0.000893115997314,0.367390155792,1,s,794.564749956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,21,0,84,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.450750827789,None,0,0.5,hexagonorange.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.514359951019,0.000874996185303,0.450750827789,1,a,797.568190098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,21,1,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.367356061935,None,0,2.0,squarewhite.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.79,0.514213085175,0.000993013381958,0.367356061935,1,w,800.571779966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,21,2,86,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.484560966492,None,0,1.0,diamondgray.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.513895988464,0.000874996185303,0.484560966492,1,a,803.57489109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
-200,q,200,,,,,,,,,,,,,,,,,1,0,1,0,21,3,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.401142120361,None,0,4.0,lineyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,3.99,0.514215946198,0.000902891159058,0.401142120361,1,q,806.578214884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
200,w,200,,,,,,,,,,,,,,,,,1,0,1,0,22,0,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.384642124176,None,0,2.0,squarewhite.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,2.05,0.51403093338,0.000985860824585,0.384642124176,1,w,809.581432104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
200,s,-200,,,,,,,,,,,,,,,,,1,0,1,0,22,1,89,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.351199150085,None,0,2.0,squarewhite.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,2.11,0.514327049255,0.000874996185303,0.351199150085,1,s,812.584857941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,22,2,90,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.434221982956,None,0,2.0,circlecyan.gif,go,,,,,,,,,,,,,,,,,,,,,,,,2.21,0.514293193817,0.000871181488037,0.434221982956,1,a,815.588468075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
-200,a,-200,,,,,,,,,,,,,,,,,1,0,1,0,22,3,91,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.417303085327,None,0,0.5,trianglemagenta.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.514276027679,0.000901937484741,0.417303085327,1,a,818.591541052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1104,59.9247922643,LearningTask,1,38,
