xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,feedbackResp.rt,fourthComputedRewardOutput,fourthLearningStimOnset,fourthLearningFixOnset,fourthPresentationRT,fourthPresentationAcc,fourthPresentationResp,fourthEndTrialTimeStamp,fifthComputedRewardOutput,fifthLearningStimOnset,fifthLearningFixOnset,fifthPresentationRT,fifthPresentationAcc,fifthPresentationResp,fifthEndTrialTimeStamp,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,11,2,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.417840957642,None,0,0.5,hexagonyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.514189004898,0.000887155532837,0.417840957642,1,w,1032.5076561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,11,3,47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.417720079422,None,0,4.0,crosswhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.84,0.514326095581,0.00094199180603,0.417720079422,1,q,1035.51070619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,a,-200,,,,,,,,,,,,,,,,,2,0,2,0,12,0,48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.450904846191,None,0,4.0,crosswhite.gif,go,,,,,,,,,,,,,,,,,,,,,,,,3.79,0.51460814476,0.000874042510986,0.450904846191,1,a,1038.51463318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,12,1,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.367245912552,None,0,1.0,squaremagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,1.03,0.514075994492,0.000870943069458,0.367245912552,1,q,1041.51769805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,12,2,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.433463096619,None,0,2.0,diamondorange.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,2.22,0.514726877213,0.000956773757935,0.433463096619,1,q,1044.52115107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
200,s,-200,,,,,,,,,,,,,,,,,2,0,2,0,12,3,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.584177017212,None,0,4.0,linegreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,3.85,0.514339923859,0.000878095626831,0.584177017212,1,s,1047.52468514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,a,-200,,,,,,,,,,,,,,,,,2,0,2,0,13,0,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.434208154678,None,0,0.5,hexagonyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.513934135437,0.000879049301147,0.434208154678,1,a,1050.52765608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,a,-200,,,,,,,,,,,,,,,,,2,0,2,0,13,1,53,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.634783029556,None,0,4.0,linegreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,4.19,0.514029979706,0.00105500221252,0.634783029556,1,a,1053.53101897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
200,w,200,,,,,,,,,,,,,,,,,2,0,2,0,13,2,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.50084400177,None,0,0.5,circlecyan.gif,go,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.514377117157,0.000885963439941,0.50084400177,1,w,1056.53446698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,q,200,,,,,,,,,,,,,,,,,2,0,2,0,13,3,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.417254209518,None,0,2.0,diamondorange.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,2.19,0.514513969421,0.000888109207153,0.417254209518,1,q,1059.5379591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
