xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.19591284,go,crossmagenta.gif,go,0.5,z,1,0.802071094513,None,0,0.000936031341553,0.514500141144,2432.19797897,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432.19843984,go,crossmagenta.gif,go,0.5,z,1,0.717928886414,None,0,0.00113201141357,0.516079902649,2435.20161796,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2435.20210695,go,crossmagenta.gif,go,0.5,m,1,0.617763996124,None,0,0.00092887878418,0.515045881271,2438.20530701,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,2,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2438.20576501,stop,diamondgray.gif,stop,0.5,m,1,0.484107017517,None,0,0.000993967056274,0.515038013458,2441.2088089,1.26574087143,,,,,,,,,,,,,,,,,,,,0.75,0.7,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,2,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441.20959187,stop,triangleyellow.gif,stop,2.0,z,1,0.517432928085,None,0,0.00097393989563,0.514370918274,2444.21160483,1.26503705978,,,,,,,,,,,,,,,,,,,,0.75,0.7,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,3,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444.21206498,stop,diamondgray.gif,stop,0.5,m,1,0.73418879509,None,0,0.000926971435547,0.515537977219,2447.21508598,1.21630215645,,,,,,,,,,,,,,,,,,,,0.7,0.65,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,3,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447.21554184,go,invertedtrianglegreen.gif,stop,4.0,m,1,0.350867986679,None,0,0.000956058502197,0.515060901642,2450.21893692,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,4,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450.21945691,go,squareblue.gif,go,2.0,z,1,0.484175920486,None,0,0.000929832458496,0.514588832855,2453.22223186,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,4,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453.22268987,stop,hexagonwhite.gif,stop,1.0,z,1,0.450906991959,None,0,0.000936985015869,0.514974832535,2456.22576499,1.21574783325,,,,,,,,,,,,,,,,,,,,0.7,0.65,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,5,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456.22627783,stop,hexagonwhite.gif,stop,1.0,z,1,0.451274871826,None,0,0.000944137573242,0.514900922775,2459.22915602,1.16537213326,,,,,,,,,,,,,,,,,,,,0.65,0.6,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,5,1,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2459.22961688,go,crossmagenta.gif,go,0.5,m,1,0.367650985718,None,0,0.000936031341553,0.514662981033,2462.23188496,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,6,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.23234582,stop,invertedtrianglegreen.gif,stop,4.0,m,1,0.367892026901,None,0,0.000930786132812,0.515231847763,2465.23576403,1.16586899757,,,,,,,,,,,,,,,,,,,,0.65,0.6,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,6,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465.23624897,stop,invertedtrianglegreen.gif,stop,4.0,z,1,0.384301900864,None,0,0.000930070877075,0.514822006226,2468.23921704,1.11522912979,,,,,,,,,,,,,,,,,,,,0.6,0.55,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,7,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468.23967195,go,triangleyellow.gif,stop,2.0,z,1,0.501355886459,None,0,0.000936985015869,0.5145008564,2471.24217296,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,7,1,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471.24263,go,triangleyellow.gif,stop,2.0,m,1,0.35057592392,None,0,0.0010199546814,0.51514005661,2474.24585199,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,8,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2474.24630904,go,squareblue.gif,go,2.0,m,1,0.367060899734,None,0,0.000931024551392,0.515334129333,2477.24874783,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,8,1,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2477.24921298,stop,diamondgray.gif,stop,0.5,z,1,0.417475938797,None,0,0.000935077667236,0.515294075012,2480.25270891,1.065762043,,,,,,,,,,,,,,,,,,,,0.55,0.5,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,9,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480.25321388,stop,diamondgray.gif,stop,0.5,z,1,0.416944980621,None,0,0.000954866409302,0.514889955521,2483.25594401,1.01492881775,,,,,,,,,,,,,,,,,,,,0.5,0.45,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,9,1,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483.25639892,go,lineorange.gif,go,4.0,m,1,0.301330089569,None,0,0.000938892364502,0.514714002609,2486.25920486,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,10,0,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486.25966382,go,crossmagenta.gif,go,0.5,m,1,0.367919921875,None,0,0.0011191368103,0.515022993088,2489.26264596,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,10,1,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2489.26328897,go,crossmagenta.gif,go,0.5,m,1,0.333935022354,None,0,0.000963926315308,0.514701128006,2492.26581001,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,11,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2492.26627088,stop,hexagonwhite.gif,stop,1.0,z,1,0.334584951401,None,0,0.000942945480347,0.515034914017,2495.26953602,0.965950012207,,,,,,,,,,,,,,,,,,,,0.45,0.4,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,11,1,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495.27008295,stop,triangleyellow.gif,stop,2.0,m,1,0.350956916809,None,0,0.00106000900269,0.515100002289,2498.27285194,1.11538887024,,,,,,,,,,,,,,,,,,,,0.6,0.55,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,12,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2498.27331901,stop,hexagonwhite.gif,stop,1.0,z,1,0.317104101181,None,0,0.000960826873779,0.515020847321,2501.27595782,0.915544033051,,,,,,,,,,,,,,,,,,,,0.4,0.35,,,,,,,,,,,,,,,,,,,,,,2015_Jul_08_1003,59.9063905516,LearningTask,1,83,
