xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,EndTrialTimeStamp,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,4,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447.44396996,stop,lineyellow.gif,stop,2.0,None,0,,None,0,0.000936031341553,0.515159130096,2450.4468739,1.01539206505,,,,,,,,,,,,,,,,,,,0.5,0.55,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1256,59.9004017349,LearningTask,1,79,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,5,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450.44735193,go,hexagonmagenta.gif,stop,1.0,z,1,0.684610128403,None,0,0.000936985015869,0.515056848526,2453.44990778,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1256,59.9004017349,LearningTask,1,79,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,5,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453.45036077,stop,diamondblue.gif,stop,4.0,z,1,0.668040990829,None,0,0.000931024551392,0.515383958817,2456.45378184,1.06615304947,,,,,,,,,,,,,,,,,,,0.55,0.5,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1256,59.9004017349,LearningTask,1,79,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,6,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456.45428681,stop,lineyellow.gif,stop,2.0,None,0,,None,0,0.000952005386353,0.51500582695,2459.45714879,1.01533579826,,,,,,,,,,,,,,,,,,,0.5,0.55,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1256,59.9004017349,LearningTask,1,79,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,6,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2459.45759988,go,trianglegreen.gif,go,0.5,z,1,0.58452796936,None,0,0.000939846038818,0.515111923218,2462.46001697,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1256,59.9004017349,LearningTask,1,79,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,7,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.46047187,go,squarecyan.gif,go,1.0,z,1,0.683856010437,None,0,0.000925064086914,0.515752077103,2465.46389985,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1256,59.9004017349,LearningTask,1,79,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,7,1,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2465.46440887,stop,lineyellow.gif,stop,2.0,None,0,,None,0,0.000895977020264,0.515017986298,2468.46690893,1.06549096107,,,,,,,,,,,,,,,,,,,0.55,0.6,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1256,59.9004017349,LearningTask,1,79,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,8,0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468.46736884,go,hexagonmagenta.gif,stop,1.0,m,1,0.601570129395,None,0,0.000998020172119,0.515214920044,2471.47011185,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1256,59.9004017349,LearningTask,1,79,
,,,z,0,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,8,1,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471.47056699,go,squarecyan.gif,go,1.0,z,1,0.834818840027,None,0,0.000930070877075,0.515291213989,2474.47382689,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1256,59.9004017349,LearningTask,1,79,
,,,m,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,0,9,0,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2474.47427583,go,squarecyan.gif,go,1.0,m,1,0.801446914673,None,0,0.000922203063965,0.514873027802,2477.47695279,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,,,,,,,,,2015_Jul_06_1256,59.9004017349,LearningTask,1,79,
