xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,feedbackResp.rt,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,secondPracComputedRewardOutput,secondPracLearningStimOnset,secondPracLearningFixOnset,secondPracPresentationRT,secondPracPresentationAcc,secondPracPresentationResp,secondPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,fourthComputedRewardOutput,fourthLearningStimOnset,fourthLearningFixOnset,fourthPresentationRT,fourthPresentationAcc,fourthPresentationResp,fourthEndTrialTimeStamp,fifthComputedRewardOutput,fifthLearningStimOnset,fifthLearningFixOnset,fifthPresentationRT,fifthPresentationAcc,fifthPresentationResp,fifthEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,15,3,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.434513092041,None,0,,2.0,triangleorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,0.514312028885,0.000919103622437,0.434513092041,1,q,1570.57855296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,w,200,,,,,,,,,,,,,,,,,3,0,3,0,16,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.517843008041,None,0,,1.0,circlemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,0.514512062073,0.00091814994812,0.517843008041,1,w,1573.58230114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,16,1,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.383761882782,None,0,,2.0,crossblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,0.51385307312,0.000881195068359,0.383761882782,1,q,1576.58535004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,a,-200,,,,,,,,,,,,,,,,,3,0,3,0,16,2,66,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.451384067535,None,0,,0.5,hexagongray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.514132022858,0.000921964645386,0.451384067535,1,a,1579.58871508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,w,200,,,,,,,,,,,,,,,,,3,0,3,0,16,3,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.434607028961,None,0,,2.0,triangleorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,0.514101028442,0.000881910324097,0.434607028961,1,w,1582.59254813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,s,-200,,,,,,,,,,,,,,,,,3,0,3,0,17,0,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.501170158386,None,0,,2.0,triangleorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,0.513648986816,0.000885009765625,0.501170158386,1,s,1585.59561801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,17,1,69,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.383684873581,None,0,,2.0,triangleorange.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,0.514304876328,0.000882863998413,0.383684873581,1,q,1588.59891701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,w,200,,,,,,,,,,,,,,,,,3,0,3,0,17,2,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.484172821045,None,0,,0.5,diamondgreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.514429092407,0.000879049301147,0.484172821045,1,w,1591.60227799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,17,3,71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.401241064072,None,0,,1.0,circlemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,0.514045953751,0.000972032546997,0.401241064072,1,q,1594.60578418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,a,-200,,,,,,,,,,,,,,,,,3,0,3,0,18,0,72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.434231042862,None,0,,1.0,circlemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,0.514111042023,0.00095009803772,0.434231042862,1,a,1597.60876799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,w,200,,,,,,,,,,,,,,,,,3,0,3,0,18,1,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.467934131622,None,0,,0.5,diamondgreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.514671087265,0.00118803977966,0.467934131622,1,w,1600.61234498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,a,-200,,,,,,,,,,,,,,,,,3,0,3,0,18,2,74,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.65089392662,None,0,,0.5,hexagongray.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.514433145523,0.000890016555786,0.65089392662,1,a,1603.61570907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,w,200,,,,,,,,,,,,,,,,,3,0,3,0,18,3,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.500870943069,None,0,,2.0,crossblue.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.514275074005,0.00103807449341,0.500870943069,1,w,1606.61928916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,a,-200,,,,,,,,,,,,,,,,,3,0,3,0,19,0,76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.400989055634,None,0,,4.0,linecyan.gif,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.51404094696,0.000902891159058,0.400989055634,1,a,1609.62228703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,s,-200,,,,,,,,,,,,,,,,,3,0,3,0,19,1,77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.40113902092,None,0,,1.0,circlemagenta.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.514482021332,0.000872135162354,0.40113902092,1,s,1612.62587714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,q,200,,,,,,,,,,,,,,,,,3,0,3,0,19,2,78,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.384490966797,None,0,,4.0,invertedtriangleyellow.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,0.513694047928,0.000913143157959,0.384490966797,1,q,1615.62909603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
